詞頻序號	詞目	出現頻次	累積頻次	累積百分比
1	我們	2613	2613	0.492599
2	臺灣	2298	4911	0.925814
3	可以	1733	6644	1.252517
4	自己	1580	8224	1.550376
5	他們	1433	9657	1.820523
6	沒有	1409	11066	2.086146
7	因為	1219	12285	2.315950
8	可能	1104	13389	2.524074
9	如果	1033	14422	2.718814
10	問題	1004	15426	2.908087
11	因此	928	16354	3.083032
12	生活	924	17278	3.257223
13	什麼	913	18191	3.429340
14	工作	897	19088	3.598441
15	孩子	884	19972	3.765091
16	美國	876	20848	3.930233
17	廣告	865	21713	4.093301
18	經濟	859	22572	4.255238
19	社會	858	23430	4.416987
20	活動	857	24287	4.578547
21	開始	832	25119	4.735394
22	大陸	831	25950	4.892053
23	世界	826	26776	5.047769
24	日本	824	27600	5.203108
25	國小	810	28410	5.355808
26	但是	798	29208	5.506246
27	發展	784	29992	5.654044
28	時間	782	30774	5.801465
29	市場	769	31543	5.946436
30	朋友	763	32306	6.090276
31	公司	750	33056	6.231665
32	電影	748	33804	6.372677
33	兒童	744	34548	6.512935
34	中國	732	35280	6.650931
35	小朋友	701	35981	6.783082
36	由於	701	36682	6.915233
37	所以	701	37383	7.047384
38	知道	699	38082	7.179158
39	現在	695	38777	7.310178
40	許多	678	39455	7.437994
41	政府	670	40125	7.564301
42	發現	670	40795	7.690608
43	成為	656	41451	7.814276
44	教育	653	42104	7.937379
45	雖然	635	42739	8.057088
46	認為	615	43354	8.173027
47	企業	605	43959	8.287081
48	地方	597	44556	8.399627
49	必須	596	45152	8.511984
50	如何	586	45738	8.622456
51	目前	578	46316	8.731420
52	不過	571	46887	8.839064
53	影響	571	47458	8.946708
54	已經	565	48023	9.053221
55	政治	563	48586	9.159357
56	投資	548	49134	9.262665
57	就是	543	49677	9.365031
58	關係	543	50220	9.467397
59	未來	542	50762	9.569574
60	重要	541	51303	9.671562
61	出現	530	51833	9.771477
62	引擎	529	52362	9.871203
63	希望	527	52889	9.970552
64	研究	525	53414	10.069524
65	北市	522	53936	10.167931
66	學生	512	54448	10.264452
67	設計	499	54947	10.358523
68	時候	497	55444	10.452217
69	文化	495	55939	10.545534
70	表現	494	56433	10.638662
71	國家	491	56924	10.731225
72	發生	491	57415	10.823788
73	安全	482	57897	10.914654
