NO	PHRASE	DPIWN	TDPIWN	PERCENT	TPERCENT	JDICT
1	的	48808	48808	6.44217773	6.44217773	*
2	了	12351	61159	1.63021097	8.07238870	*
3	在	8932	70091	1.17893648	9.25132518	*
4	是	8668	78759	1.14409106	10.39541624	*
5	我	8417	87176	1.11096152	11.50637776	*
6	有	8196	95372	1.08179169	12.58816945	*
7	這	6445	101817	0.85067685	13.43884630	*
8	個	6112	107929	0.80672411	14.24557041	*
9	你	5404	113333	0.71327505	14.95884546	*
10	和	4708	118041	0.62140987	15.58025533	*
11	他	4544	122585	0.59976347	16.18001880	*
12	就	4420	127005	0.58339669	16.76341549	*
13	上	4169	131174	0.55026715	17.31368264	*
14	著	4111	135285	0.54261172	17.85629436	*
15	說	3981	139266	0.52545299	18.38174735	*
16	要	3796	143062	0.50103480	18.88278215	*
17	人	3794	146856	0.50077082	19.38355297	*
18	也	3630	150486	0.47912443	19.86267740	*
19	好	3520	154006	0.46460551	20.32728291	*
20	到	3443	157449	0.45444226	20.78172517	*
21	裡	3417	160866	0.45101052	21.23273569	*
22	來	3326	164192	0.43899941	21.67173510	*
23	很	3227	167419	0.42593238	22.09766748	*
24	我們	3218	170637	0.42474447	22.52241195	*
25	中	2944	173581	0.38857915	22.91099110	*
26	把	2767	176348	0.36521689	23.27620799	*
27	會	2757	179105	0.36389698	23.64010497	*
28	都	2665	181770	0.35175389	23.99185886	*
29	不	2535	184305	0.33459516	24.32645402	*
30	小	2402	186707	0.31704046	24.64349448	*
31	大	2385	189092	0.31479663	24.95829111	*
32	得	2266	191358	0.29908980	25.25738091	*
33	那	2216	193574	0.29249029	25.54987120	*
34	為	2215	195789	0.29235830	25.84222950	*
35	去	2106	197895	0.27797136	26.12020086	*
36	時	2032	199927	0.26820409	26.38840495	*
37	什麼	2018	201945	0.26635623	26.65476118	*
38	可以	2018	203963	0.26635623	26.92111741	*
39	用	1996	205959	0.26345244	27.18456985	*
40	又	1982	207941	0.26160458	27.44617443	*
41	看	1947	209888	0.25698492	27.70315935	*
42	還	1890	211778	0.24946148	27.95262083	*
43	能	1879	213657	0.24800959	28.20063042	*
44	多	1831	215488	0.24167406	28.44230448	*
45	以	1828	217316	0.24127809	28.68358257	*
46	天	1802	219118	0.23784634	28.92142891	*
47	最	1640	220758	0.21646393	29.13789284	*
48	種	1631	222389	0.21527602	29.35316886	*
49	後	1598	223987	0.21092034	29.56408920	*
50	呢	1571	225558	0.20735661	29.77144581	*
51	些	1568	227126	0.20696064	29.97840645	*
52	對	1549	228675	0.20445282	30.18285927	*
53	從	1541	230216	0.20339690	30.38625617	*
54	做	1515	231731	0.19996515	30.58622132	*
55	老師	1505	233236	0.19864525	30.78486657	*
56	之	1453	234689	0.19178176	30.97664833	*
57	與	1449	236138	0.19125380	31.16790213	*
58	過	1442	237580	0.19032987	31.35823200	*
59	而	1433	239013	0.18914196	31.54737396	*
60	想	1412	240425	0.18637016	31.73374412	*
61	下	1402	241827	0.18505026	31.91879438	*
62	再	1352	243179	0.17845075	32.09724513	*
63	給	1336	244515	0.17633891	32.27358404	*
64	年	1331	245846	0.17567896	32.44926300	*
65	請	1328	247174	0.17528299	32.62454599	*
66	她	1295	248469	0.17092731	32.79547330	*
67	沒有	1293	249762	0.17066333	32.96613663	*
68	嗎	1285	251047	0.16960741	33.13574404	*
69	只	1262	252309	0.16657163	33.30231567	*
70	每	1262	253571	0.16657163	33.46888730	*
71	被	1254	254825	0.16551571	33.63440301	*
72	幾	1223	256048	0.16142402	33.79582703	*
73	各	1209	257257	0.15957615	33.95540318	*
74	大家	1197	258454	0.15799227	34.11339545	*
75	將	1176	259630	0.15522048	34.26861593	*
76	才	1163	260793	0.15350460	34.42212053	*
77	哪	1140	261933	0.15046883	34.57258936	*
78	等	1138	263071	0.15020485	34.72279421	*
79	他們	1109	264180	0.14637713	34.86917134	*
80	或	1108	265288	0.14624514	35.01541648	*
81	並	1101	266389	0.14532121	35.16073769	*
82	自己	1100	267489	0.14518922	35.30592691	*
83	所	1090	268579	0.14386932	35.44979623	*
84	可	1063	269642	0.14030558	35.59010181	*
85	第	1058	270700	0.13964563	35.72974744	*
86	讓	1049	271749	0.13845772	35.86820516	*
87	樣	1036	272785	0.13674185	36.00494701	*
88	吃	1033	273818	0.13634588	36.14129289	*
89	您	1028	274846	0.13568593	36.27697882	*
90	所以	1025	275871	0.13528996	36.41226878	*
91	地	1019	276890	0.13449801	36.54676679	*
92	次	1019	277909	0.13449801	36.68126480	*
93	家	1016	278925	0.13410204	36.81536684	*
94	因為	1012	279937	0.13357408	36.94894092	*
95	向	993	280930	0.13106627	37.08000719	*
96	長	991	281921	0.13080229	37.21080948	*
97	像	985	282906	0.13001035	37.34081983	*
98	媽媽	960	283866	0.12671059	37.46753042	*
99	時候	926	284792	0.12222293	37.58975335	*
100	走	923	285715	0.12182696	37.71158031	*
101	寫	916	286631	0.12090302	37.83248333	*
102	起來	912	287543	0.12037506	37.95285839	*
103	問題	904	288447	0.11931914	38.07217753	*
104	使	902	289349	0.11905516	38.19123269	*
105	就是	895	290244	0.11813123	38.30936392	
106	它	883	291127	0.11654735	38.42591127	*
107	為什麼	874	292001	0.11535944	38.54127071	
108	真	864	292865	0.11403953	38.65531024	*
109	吧	856	293721	0.11298361	38.76829385	*
110	水	855	294576	0.11285162	38.88114547	*
111	位	851	295427	0.11232366	38.99346913	*
112	前	847	296274	0.11179570	39.10526483	*
113	怎麼	847	297121	0.11179570	39.21706053	*
114	知道	840	297961	0.11087177	39.32793230	*
115	於	829	298790	0.10941988	39.43735218	*
116	如果	798	299588	0.10532818	39.54268036	*
117	希望	792	300380	0.10453624	39.64721660	*
118	本	788	301168	0.10400828	39.75122488	*
119	生活	787	301955	0.10387629	39.85510117	*
120	更	787	302742	0.10387629	39.95897746	*
121	及	769	303511	0.10150046	40.06047792	*
122	隻	767	304278	0.10123648	40.16171440	*
123	叫	757	305035	0.09991658	40.26163098	*
124	你們	739	305774	0.09754076	40.35917174	*
125	但	733	306507	0.09674882	40.45592056	*
126	卻	729	307236	0.09622086	40.55214142	*
127	當	729	307965	0.09622086	40.64836228	*
128	話	721	308686	0.09516493	40.74352721	*
129	出來	718	309404	0.09476896	40.83829617	*
130	沒	715	310119	0.09437299	40.93266916	*
131	由	714	310833	0.09424100	41.02691016	*
132	學校	714	311547	0.09424100	41.12115116	*
133	快	711	312258	0.09384503	41.21499619	*
134	事	704	312962	0.09292110	41.30791729	*
135	啊	703	313665	0.09278911	41.40070640	*
136	但是	695	314360	0.09173319	41.49243959	*
137	聽	693	315053	0.09146921	41.58390880	*
138	地方	677	315730	0.08935737	41.67326617	*
