字頻序號,字,部首,筆畫,出現頻次,累積頻次,累積百分比
1,的,白,08,39632,39632,3.94012662
2,一,一,01,12955,52587,5.22808434
3,是,日,09,11865,64452,6.40767665
4,不,一,04,9889,74341,7.39081936
5,有,月,06,9414,83755,8.32673862
6,在,土,06,9364,93119,9.25768699
7,人,人,02,8004,101123,10.05342713
8,以,人,05,6442,107565,10.69387666
9,為,火,09,5914,113479,11.28183358
10,中,｜,04,5884,119363,11.86680797
11,大,大,03,5854,125217,12.44879983
12,會,曰,13,5239,130456,12.96964973
13,上,一,03,5110,135566,13.47767474
14,了,??,02,5057,140623,13.98043060
15,可,口,05,4835,145458,14.46111571
16,這,??,11,4775,150233,14.93583575
17,時,日,10,4729,154962,15.40598257
18,來,人,08,4565,159527,15.85982487
19,年,干,06,4541,164068,16.31128114
20,個,人,10,4541,168609,16.76273741
21,他,人,05,4490,173099,17.20912337
22,出,凵,05,4269,177368,17.63353800
23,到,刀,08,4229,181597,18.05397592
24,國,囗,11,4222,185819,18.47371791
25,我,戈,07,4120,189939,18.88331928
26,也,乙,03,4114,194053,19.29232415
27,要,襾,09,3982,198035,19.68820587
28,成,戈,06,3755,201790,20.06151974
29,而,而,06,3743,205533,20.43364060
30,能,肉,10,3664,209197,20.79790745
31,就,尢,12,3337,212534,21.12966468
32,地,土,06,3308,215842,21.45853880
33,對,寸,14,3293,219135,21.78592164
34,後,彳,09,3261,222396,22.11012312
35,於,方,08,3217,225613,22.42995021
36,之,??,04,3192,228805,22.74729186
37,多,夕,06,3141,231946,23.05956320
38,用,用,05,3139,235085,23.37163570
39,生,生,05,3134,238219,23.68321112
40,台,口,05,3117,241336,23.99309643
41,行,行,06,3003,244339,24.29164811
42,和,口,08,2917,247256,24.58164986
43,過,??,13,2871,250127,24.86707839
44,所,戶,08,2864,252991,25.15181099
45,們,人,10,2855,255846,25.43564884
46,作,人,07,2849,258695,25.71889018
47,業,木,13,2841,261536,26.00133618
48,公,八,04,2835,264371,26.28318566
49,因,囗,06,2828,267199,26.56433923
50,自,自,06,2767,269966,26.83942831
51,得,彳,11,2740,272706,27.11183311
52,與,臼,14,2725,275431,27.38274664
53,十,十,02,2715,278146,27.65266599
54,家,??,10,2706,280852,27.92169058
55,發,??,12,2695,283547,28.18962158
56,下,一,03,2688,286235,28.45685665
57,現,玉,11,2663,288898,28.72160627
58,如,女,06,2637,291535,28.98377104
59,者,老,08,2612,294147,29.24345035
60,前,刀,09,2596,296743,29.50153899
61,都,邑,11,2570,299313,29.75704276
62,經,糸,13,2543,301856,30.00986225
63,方,方,04,2496,304352,30.25800910
64,及,又,04,2487,306839,30.50526119
65,最,??,12,2446,309285,30.74843715
66,外,夕,05,2425,311710,30.98952534
67,將,寸,11,2420,314130,31.23011644
68,長,長,08,2387,316517,31.46742675
69,當,田,13,2380,318897,31.70404114
70,分,刀,04,2376,321273,31.94025785
71,高,高,10,2329,323602,32.17180193
72,動,力,11,2321,325923,32.40255066
73,市,巾,05,2312,328235,32.63240464
74,但,人,07,2311,330546,32.86215920
75,說,言,14,2294,332840,33.09022365
76,新,斤,13,2234,335074,33.31232304
77,心,心,04,2229,337303,33.53392533
78,然,火,12,2228,339531,33.75542821
79,法,水,08,2196,341727,33.97374972
80,其,八,08,2174,343901,34.18988404
81,子,子,03,2173,346074,34.40591894
82,力,力,02,2158,348232,34.62046257
83,天,大,04,2151,350383,34.83431028
84,日,日,04,2142,352525,35.04726323
85,場,土,12,2138,354663,35.25981850
86,開,門,12,2129,356792,35.47147902
87,表,衣,08,2119,358911,35.68214536
88,同,口,06,2111,361022,35.89201635
89,三,一,03,2109,363131,36.10168851
90,資,貝,13,2107,365238,36.31116184
91,理,玉,11,2093,367331,36.51924331
92,此,止,06,2085,369416,36.72652944
93,主,??,05,2063,371479,36.93162838
94,小,小,03,2054,373533,37.13583256
95,本,木,05,2050,375583,37.33963907
96,事,??,08,2043,377626,37.54274966
97,定,??,08,2010,379636,37.74257945
98,好,女,06,2008,381644,37.94221042
99,電,雨,13,2007,383651,38.14174196
100,加,力,05,1967,385618,38.33729679
101,美,羊,09,1929,387547,38.52907374
102,面,面,09,1914,389461,38.71935943
103,部,邑,11,1902,391363,38.90845210
104,二,二,02,1899,393262,39.09724652
105,民,氏,05,1884,395146,39.28454968
106,工,工,03,1883,397029,39.47175341
107,進,??,12,1872,398901,39.65786355
108,由,田,05,1858,400759,39.84258184
109,機,木,16,1857,402616,40.02720071
110,體,骨,23,1835,404451,40.20963239
111,品,口,09,1819,406270,40.39047339
112,性,心,08,1798,408068,40.56922661
113,種,禾,14,1787,409855,40.74688623
114,等,竹,12,1777,411632,40.92355168
115,使,人,08,1775,413407,41.10001829
116,內,入,04,1771,415178,41.27608723
117,重,里,09,1754,416932,41.45046607
118,間,門,12,1733,418665,41.62275713
119,你,人,07,1719,420384,41.79365635
120,相,目,09,1717,422101,41.96435673
121,金,金,08,1712,423813,42.13456002
122,產,生,11,1707,425520,42.30426622
123,無,火,12,1688,427208,42.47208348
124,已,己,03,1687,428895,42.63980132
125,全,入,06,1686,430581,42.80741975
126,位,人,07,1646,432227,42.97106146
127,著,艸,12,1638,433865,43.13390784
128,學,子,16,1631,435496,43.29605828
129,並,一,08,1626,437122,43.45771164
130,情,心,11,1617,438739,43.61847024
131,或,戈,08,1615,440354,43.77903000
132,月,月,04,1606,441960,43.93869500
133,車,車,07,1597,443557,44.09746524
134,合,口,06,1595,445152,44.25603665
135,員,口,10,1594,446746,44.41450864
136,影,??,15,1593,448339,44.57288121
137,去,??,05,1580,449919,44.72996135
138,比,比,04,1576,451495,44.88664381
139,果,木,08,1575,453070,45.04322686
140,只,口,05,1573,454643,45.19961108
141,實,??,14,1567,456210,45.35539878
142,意,心,13,1561,457771,45.51058999
143,還,??,17,1557,459328,45.66538351
144,看,目,09,1550,460878,45.81948112
145,度,??,09,1540,462418,45.97258454
146,利,刀,07,1528,463946,46.12449496
147,政,??,09,1521,465467,46.27570945
148,些,二,08,1519,466986,46.42672510
149,兩,入,08,1516,468502,46.57744250
150,起,走,10,1505,470007,46.72706630
151,期,月,12,1503,471510,46.87649127
