序號,詞目,詞頻,累計詞頻,百分比,累計百分比
1,的,39282,39282,6.36345670,6.36345670
2,在,8522,47804,1.38051469,7.74397139
3,一,7684,55488,1.24476354,8.98873492
4,有,6820,62308,1.10480054,10.09353546
5,是,6692,69000,1.08406528,11.17760074
6,了,4719,73719,0.76445069,11.94205143
7,這,3970,77689,0.64311703,12.58516846
8,個,3965,81654,0.64230706,13.22747551
9,為,3835,85489,0.62124781,13.84872332
10,也,3615,89104,0.58560908,14.43433241
11,到,3606,92710,0.58415113,15.01848354
12,以,3249,95959,0.52631920,15.54480274
13,上,3206,99165,0.51935345,16.06415619
14,他,2940,102105,0.47626299,16.54041918
15,人,2805,104910,0.45439377,16.99481295
16,而,2772,107682,0.44904796,17.44386091
17,我,2731,110413,0.44240620,17.88626710
18,中,2698,113111,0.43706039,18.32332749
19,不,2608,115719,0.42248091,18.74580840
20,和,2528,118247,0.40952137,19.15532977
21,與,2527,120774,0.40935938,19.56468915
22,之,2482,123256,0.40206964,19.96675879
23,就,2376,125632,0.38489825,20.35165704
24,會,2361,127993,0.38246834,20.73412538
25,來,2265,130258,0.36691689,21.10104227
26,大,2177,132435,0.35266140,21.45370367
27,將,2100,134535,0.34018785,21.79389152
28,都,2061,136596,0.33387007,22.12776160
29,對,2034,138630,0.32949623,22.45725783
30,要,1999,140629,0.32382643,22.78108426
31,最,1999,142628,0.32382643,23.10491069
32,於,1992,144620,0.32269247,23.42760317
33,後,1953,146573,0.31637470,23.74397787
34,及,1842,148415,0.29839334,24.04237121
35,時,1835,150250,0.29725938,24.33963059
36,多,1827,152077,0.29596343,24.63559402
37,說,1804,153881,0.29223756,24.92783158
38,得,1788,155669,0.28964565,25.21747723
39,可以,1605,157274,0.26000071,25.47747794
40,你,1601,158875,0.25935274,25.73683068
41,可,1584,160459,0.25659883,25.99342951
42,但,1518,161977,0.24590722,26.23933673
43,年,1516,163493,0.24558323,26.48491996
44,所,1487,164980,0.24088540,26.72580535
45,下,1484,166464,0.24039941,26.96620477
46,很,1448,167912,0.23456762,27.20077239
47,並,1412,169324,0.22873583,27.42950822
48,等,1395,170719,0.22598193,27.65549015
49,種,1378,172097,0.22322803,27.87871817
50,著,1357,173454,0.21982615,28.09854432
51,能,1320,174774,0.21383236,28.31237668
52,更,1226,176000,0.19860491,28.51098159
53,每,1200,177200,0.19439306,28.70537464
54,好,1176,178376,0.19050520,28.89587984
55,或,1165,179541,0.18872326,29.08460310
56,兩,1156,180697,0.18726531,29.27186841
57,還,1154,181851,0.18694132,29.45880973
58,我們,1140,182991,0.18467340,29.64348313
59,已,1129,184120,0.18289147,29.82637460
60,由,1123,185243,0.18191950,30.00829410
61,地,1105,186348,0.17900361,30.18729771
62,從,1090,187438,0.17657369,30.36387140
63,讓,1075,188513,0.17414378,30.53801518
64,前,1037,189550,0.16798800,30.70600318
65,她,1031,190581,0.16701603,30.87301922
66,只,1026,191607,0.16620606,31.03922528
67,他們,1016,192623,0.16458612,31.20381140
68,成,999,193622,0.16183222,31.36564362
69,被,999,194621,0.16183222,31.52747584
70,各,996,195617,0.16134624,31.68882208
71,出,995,196612,0.16118424,31.85000632
72,台灣,990,197602,0.16037427,32.01038059
73,三,981,198583,0.15891632,32.16929691
74,看,980,199563,0.15875433,32.32805124
75,新,974,200537,0.15778236,32.48583361
76,做,971,201508,0.15729638,32.64312999
77,自己,967,202475,0.15664840,32.79977839
78,再,959,203434,0.15535245,32.95513084
79,其,935,204369,0.15146459,33.10659543
80,沒有,934,205303,0.15130260,33.25789803
81,則,933,206236,0.15114060,33.40903863
82,因為,917,207153,0.14854869,33.55758732
83,高,903,208056,0.14628077,33.70386810
84,次,887,208943,0.14368887,33.84755697
85,過,887,209830,0.14368887,33.99124583
86,元,869,210699,0.14077297,34.13201880
87,用,856,211555,0.13866705,34.27068585
88,此,851,212406,0.13785708,34.40854293
89,又,849,213255,0.13753309,34.54607601
90,小,838,214093,0.13575115,34.68182717
91,內,838,214931,0.13575115,34.81757832
92,如果,809,215740,0.13105332,34.94863163
93,位,808,216548,0.13089132,35.07952296
94,第,789,217337,0.12781343,35.20733639
95,才,780,218117,0.12635549,35.33369188
96,可能,780,218897,0.12635549,35.46004737
97,表示,775,219672,0.12554552,35.58559288
98,外,772,220444,0.12505953,35.71065242
99,那,771,221215,0.12489754,35.83554995
100,使,752,221967,0.12181965,35.95736960
101,些,750,222717,0.12149566,36.07886526
102,就是,750,223467,0.12149566,36.20036092
103,把,738,224205,0.11955173,36.31991265
104,市場,735,224940,0.11906575,36.43897840
105,二,733,225673,0.11874176,36.55772016
106,卻,728,226401,0.11793179,36.67565195
107,因此,695,227096,0.11258598,36.78823792
108,投資,673,227769,0.10902211,36.89726003
109,目前,672,228441,0.10886011,37.00612014
110,當,672,229113,0.10886011,37.11498025
111,公司,671,229784,0.10869812,37.22367837
112,較,668,230452,0.10821213,37.33189050
113,因,664,231116,0.10756416,37.43945466
114,家,663,231779,0.10740216,37.54685683
115,但是,655,232434,0.10610621,37.65296304
116,天,644,233078,0.10432427,37.75728731
117,想,635,233713,0.10286633,37.86015364
118,至,632,234345,0.10238034,37.96253398
119,問題,631,234976,0.10221835,38.06475233
120,如,618,235594,0.10011242,38.16486475
121,去,617,236211,0.09995043,38.26481518
122,給,611,236822,0.09897846,38.36379365
123,所以,609,237431,0.09865448,38.46244812
124,它,598,238029,0.09687254,38.55932066
125,全,596,238625,0.09654855,38.65586921
126,裡,595,239220,0.09638656,38.75225577
127,該,591,239811,0.09573858,38.84799435
128,使用,584,240395,0.09460462,38.94259897
129,不過,581,240976,0.09411864,39.03671761
130,點,558,241534,0.09039277,39.12711038
131,無,553,242087,0.08958280,39.21669318
132,幾,550,242637,0.08909682,39.30579000
133,起,546,243183,0.08844884,39.39423884
134,向,537,243720,0.08699089,39.48122973
135,除,536,244256,0.08682890,39.56805863
136,本,534,244790,0.08650491,39.65456354
137,四,531,245321,0.08601893,39.74058247
138,時間,517,245838,0.08375101,39.82433347
139,總統,505,246343,0.08180708,39.90614055
140,雖然,502,246845,0.08132110,39.98746165
141,今年,497,247342,0.08051112,40.06797277
142,不是,494,247836,0.08002514,40.14799791
143,名,494,248330,0.08002514,40.22802306
144,比,487,248817,0.07889118,40.30691424
145,工作,484,249301,0.07840520,40.38531944
146,仍,482,249783,0.07808121,40.46340065
147,開始,482,250265,0.07808121,40.54148186
148,不同,471,250736,0.07629927,40.61778113
149,間,464,251200,0.07516532,40.69294645
150,應,463,251663,0.07500332,40.76794977
151,即,459,252122,0.07435534,40.84230511
152,其他,457,252579,0.07403136,40.91633647
153,已經,454,253033,0.07354537,40.98988184
154,像,454,253487,0.07354537,41.06342721
155,記者,452,253939,0.07322138,41.13664860
156,美國,451,254390,0.07305939,41.20970799
157,發展,449,254839,0.07273540,41.28244339
158,以及,443,255282,0.07176344,41.35420683
159,自,441,255723,0.07143945,41.42564628
160,許多,439,256162,0.07111546,41.49676174
161,必須,438,256600,0.07095347,41.56771520
162,受,438,257038,0.07095347,41.63866867
163,事,436,257474,0.07062948,41.70929814
164,相當,434,257908,0.07030549,41.77960363
165,希望,428,258336,0.06933352,41.84893716
166,發現,426,258762,0.06900953,41.91794669
167,由於,422,259184,0.06836156,41.98630825
168,報導,422,259606,0.06836156,42.05466981
169,月,416,260022,0.06738959,42.12205940
170,作,416,260438,0.06738959,42.18944899
171,方式,414,260852,0.06706560,42.25651460
172,另,414,261266,0.06706560,42.32358020
173,太,408,261674,0.06609364,42.38967384
174,指出,408,262082,0.06609364,42.45576748
175,便,405,262487,0.06560766,42.52137514
176,未來,403,262890,0.06528367,42.58665880
177,產品,403,263293,0.06528367,42.65194247
178,台北,398,263691,0.06447370,42.71641617
179,政府,395,264086,0.06398771,42.78040388
180,什麼,392,264478,0.06350173,42.84390562
181,提供,390,264868,0.06317774,42.90708336
182,五,389,265257,0.06301575,42.97009911
183,者,385,265642,0.06236777,43.03246688
184,電腦,384,266026,0.06220578,43.09467266
185,重要,383,266409,0.06204378,43.15671644
186,曾,383,266792,0.06204378,43.21876023
187,生活,381,267173,0.06171980,43.28048002
188,無法,381,267554,0.06171980,43.34219982
189,約,374,267928,0.06058584,43.40278565
190,十,373,268301,0.06042384,43.46320949
191,也是,372,268673,0.06026185,43.52347134
192,而且,371,269044,0.06009985,43.58357119
193,不會,369,269413,0.05977586,43.64334706
194,表現,368,269781,0.05961387,43.70296093
195,項,367,270148,0.05945188,43.76241281
196,同時,364,270512,0.05896589,43.82137870
197,若,363,270875,0.05880390,43.88018260
198,影響,362,271237,0.05864191,43.93882451
199,長,360,271597,0.05831792,43.99714242
200,分,358,271955,0.05799393,44.05513635
201,都是,357,272312,0.05783193,44.11296828
202,國,355,272667,0.05750795,44.17047623
203,現在,353,273020,0.05718396,44.22766019
204,數,353,273373,0.05718396,44.28484415
205,如何,350,273723,0.05669797,44.34154212
