Traditional	Simplified	Pinyin
一	一	yī
在	在	zài
有	有	yǒu
個	个	gè
我	我	wǒ
不	不	bù
這	这	zhè
他	他	tā
也	也	yě
就	就	jiù
人	人	rén
都	都	dōu
說	说	shuō
而	而	ér
們	们	men
你	你	nǐ
了	了	le
要	要	yào
會	会	huì
對	对	duì
及	及	jí
和	和	hé
與	与	yǔ
以	以	yǐ
很	很	hěn
種	种	zhǒng
的	的	de
大	大	dà
能	能	néng
著	着	zhe
她	她	tā
那	那	nà
上	上	shàng
但	但	dàn
年	年	nián
還	还	hái
可以	可以	kěyǐ
最	最	zuì
自己	自己	zìjǐ
為	为	wéi
來	来	lái
所	所	suǒ
他們	他们	tāmen
兩	两	liǎng
各	各	gè
可	可	kě
為	为	wéi
或	或	huò
好	好	hǎo
等	等	děng
又	又	yòu
將	将	jiāng
因為	因为	yīnwèi
於	于	yú
由	由	yóu
從	从	cóng
更	更	gèng
被	被	bèi
才	才	cái
已	已	yǐ
者	者	zhě
每	每	měi
次	次	cì
把	把	bǎ
三	三	sān
什麼	什么	shénme
問題	问题	wèntí
其	其	qí
讓	让	ràng
此	此	cǐ
做	做	zuò
再	再	zài
所以	所以	suǒyǐ
只	只	zhǐ
則	则	zé
台灣	台湾	Táiwān
卻	却	què
並	并	bìng
位	位	wèi
想	想	xiǎng
去	去	qù
呢	呢	ne
學生	学生	xuéshēng
表示	表示	biǎoshì
到	到	dào
公司	公司	gōngsī
將	将	jiāng
如果	如果	rúguǒ
社會	社会	shèhuì
看	看	kàn
小	小	xiǎo
天	天	tiān
因此	因此	yīncǐ
新	新	xīn
但是	但是	dànshì
它	它	tā
中	中	zhōng
使	使	shǐ
工作	工作	gōngzuò
全	全	quán
覺得	觉得	juéde
使用	使用	shǐyòng
這些	这些	zhèxiē
裡	里	lǐ
並	并	bìng
由於	由于	yóuyú
時候	时候	shíhòu
知道	知道	zhīdào
這樣	这样	zhèyàng
一	一	yī
認為	认为	rènwéi
時間	时间	shíjiān
事	事	shì
過	过	guò
向	向	xiàng
可能	可能	kěnéng
中國	中国	Zhōngguó
美國	美国	Měiguó
到	到	dào
和	和	hé
幾	几	jǐ
系統	系统	xìtǒng
政府	政府	zhèngfǔ
大家	大家	dàjiā
國家	国家	guójiā
許多	许多	xǔduō
生活	生活	shēnghuó
跟	跟	gēn
已經	已经	yǐjīng
大學	大学	dàxué
研究	研究	yánjiù
因	因	yīn
本	本	běn
二	二	èr
活動	活动	huódòng
該	该	gāi
世界	世界	shìjiè
應	应	yīng
四	四	sì
希望	希望	xīwàng
方式	方式	fāngshì
內	内	nèi
項	项	xiàng
啊	啊	ā
下	下	xià
環境	环境	huánjìng
一些	一些	yīxiē
必須	必须	bìxū
文化	文化	wénhuà
高	高	gāo
孩子	孩子	háizi
沒有	没有	méiyǒu
不能	不能	bùnéng
如	如	rú
開始	开始	kāishǐ
元	元	yuán
不同	不同	bùtóng
仍	仍	réng
網路	网路	wǎnglù
日本	日本	rìběn
用	用	yòng
中心	中心	zhōngxīn
來	来	lái
對	对	duì
雖然	虽然	suīrán
重要	重要	zhòngyào
地方	地方	dìfāng
進行	进行	jìnxíng
關係	关系	guānxì
市場	市场	shìchǎng
太	太	tài
老師	老师	lǎoshī
提供	提供	tígōng
學校	学校	xuéxiào
應該	应该	yīnggāi
指出	指出	zhǐchū
經濟	经济	jīngjì
其他	其他	qítā
家	家	jiā
發展	发展	fāzhǎn
教育	教育	jiàoyū
成為	成为	chéngwéi
多	多	duō
非常	非常	fēicháng
便	便	biàn
方面	方面	fāngmiàn
很多	很多	hěnduō
吃	吃	chī
然後	然后	ránhòu
未	未	wèi
發現	发现	fāxiàn
電腦	电脑	diànnǎo
一樣	一样	yīyàng
而且	而且	érqiě
心	心	xīn
不過	不过	búguò
無法	无法	wúfǎ
企業	企业	qǐyè
正	正	zhèng
服務	服务	fúwù
較	较	jiào
不會	不会	búhuì
臺灣	台湾	táiwān
曾	曾	céng
嗎	吗	mā
空間	空间	kōngjiān
看到	看到	kàndào
五	五	wǔ
如何	如何	rúhé
國內	国内	guónèi
們	们	men
無	无	wú
對於	对于	duìyú
以及	以及	yǐjí
之後	之后	zhīhòu
可是	可是	kěshì
當	当	dāng
人員	人员	rényuán
比	比	bǐ
先	先	xiān
產品	产品	chǎnpǐn
資訊	资讯	zīxùn
資料	资料	zīliào
比較	比较	bǐjiào
先生	先生	xiānshēng
地	地	dì
除了	除了	chúle
大陸	大陆	dàlù
需要	需要	xūyào
像	像	xiàng
在	在	zài
給	给	gěi
歲	岁	suì
請	请	qǐng
月	月	yuè
些	些	xiē
名	名	míng
另	另	lìng
若	若	ruò
亦	亦	yì
地區	地区	dìqū
技術	技术	jìshù
至	至	zhì
特別	特别	tèbié
其實	其实	qíshí
國際	国际	guójì
不要	不要	búyào
發生	发生	fāshēng
參加	参加	cānjiā
一定	一定	yīdìng
其中	其中	qízhōng
問	问	wèn
台北	台北	táiběi
包括	包括	bāokuò
講	讲	jiǎng
造成	造成	zàochéng
看	看	kàn
像	像	xiàng
常	常	cháng
即	即	jí
喜歡	喜欢	xǐhuān
去	去	qù
沒	没	méi
出現	出现	chūxiàn
政治	政治	zhèngzhì
話	话	huà
走	走	zǒu
單位	单位	dānwèi
一直	一直	yīzhí
吧	吧	ba
是否	是否	shìfǒu
當然	当然	dāngrán
整	整	zhěng
處理	处理	chǔlǐ
歷史	历史	lìshǐ
了解	了解	liǎojiě
那	那	nà
怎麼	怎么	zěnme
機會	机会	jīhuì
家	家	jiā
聽	听	tīng
所有	所有	suǒyǒu
只要	只要	zhǐyào
朋友	朋友	péngyou
令	令	lìng
甚至	甚至	shènzhì
用	用	yòng
真	真	zhēn
六	六	liù
呀	呀	ya
情況	情况	qíngkuàng
還是	还是	háishì
錢	钱	qián
方法	方法	fāngfǎ
點	点	diǎn
任何	任何	rènhé
經驗	经验	jīngyàn
藝術	艺术	yìshù
你們	你们	nǐmen
十	十	shí
主要	主要	zhǔyào
媽媽	妈妈	māmā
增加	增加	zēngjiā
提出	提出	tíchū
為什麼	为什么	wèishéme
以	以	yǐ
您	您	nín
計畫	计画	jìhuà
作	作	zuò
利用	利用	lìyòng
東西	东西	dōngxī
在	在	zài
條	条	tiáo
設計	设计	shèjì
找	找	zhǎo
之間	之间	zhījiān
成長	成长	chéngzhǎng
能夠	能够	nénggòu
決定	决定	juédìng
學習	学习	xuéxí
誰	谁	shéi
見	见	jiàn
半	半	bàn
時代	时代	shídài
完成	完成	wánchéng
帶	带	dài
相當	相当	xiāngdāng
同學	同学	tóngxué
件	件	jiàn
能力	能力	nénglì
別人	别人	biérén
生命	生命	shēngmìng
下	下	xià
來	来	lái
場	场	cháng
會議	会议	huìyì
容易	容易	róngyì
開發	开发	kāifā
民眾	民众	mínzhòng
事情	事情	shìqíng
書	书	shū
事實	事实	shìshí
有關	有关	yǒuguān
自	自	zì
組織	组织	zǔzhī
言	言	yán
多	多	duō
愛	爱	ài
建立	建立	jiànlì
相關	相关	xiāngguān
均	均	jūn
產生	产生	chǎnshēng
多	多	duō
業者	业者	yèzhě
解決	解决	jiějué
完全	完全	wánquán
的話	的话	dehuà
接受	接受	jiēshòu
知	知	zhī
約	约	yuē
一般	一般	yībān
推動	推动	tuīdòng
過程	过程	guòchéng
管理	管理	guǎnlǐ
功能	功能	gōngnéng
手	手	shǒu
打	打	dǎ
水	水	shuǐ
要求	要求	yāoqiú
小朋友	小朋友	xiǎopéngyǒu
教授	教授	jiàoshòu
難	难	nán
我國	我国	wǒguó
告訴	告诉	gàosù
內容	内容	nèiróng
結果	结果	jiéguǒ
調查	调查	diàochá
家庭	家庭	jiātíng
成立	成立	chénglì
選擇	选择	xuǎnzé
經營	经营	jīngyíng
然而	然而	ránér
父母	父母	fùmǔ
寫	写	xiě
人類	人类	rénlèi
至於	至于	zhìyū
買	买	mǎi
尤其	尤其	yóuqí
配合	配合	pèihé
進入	进入	jìnrù
例如	例如	lìrú
得	得	děi
討論	讨论	tǎolùn
依	依	yī
作品	作品	zuòpǐn
情形	情形	qíngxíng
資源	资源	zīyuán
原因	原因	yuányīn
啦	啦	lā
妳	妳	nǐ
運動	运动	yùndòng
觀念	观念	guānniàn
給	给	gěi
軟體	软体	ruǎntǐ
品質	品质	pǐnzhí
經過	经过	jīngguò
如此	如此	rúcǐ
嗯	嗯	ēn
精神	精神	jīngshén
影響	影响	yǐngxiǎng
之	之	zhī
過	过	guò
好像	好像	hǎoxiàng
成	成	chéng
參與	参与	cānyū
以後	以后	yǐhòu
於是	于是	yūshì
部分	部分	bùfèn
另外	另外	lìngwài
公園	公园	gōngyuán
透過	透过	tòuguò
訓練	训练	xùnliàn
努力	努力	nǔlì
研究	研究	yánjiù
具有	具有	jùyǒu
共同	共同	gòngtóng
所謂	所谓	suǒwèi
下	下	xià
行為	行为	xíngwéi
合作	合作	hézuò
經	经	jīng
合作	合作	hézuò
目標	目标	mùbiāo
起來	起来	qǐlái
考慮	考虑	kǎolù
長	长	cháng
意見	意见	yìjiàn
辦法	办法	bànfǎ
音樂	音乐	yīnyuè
連	连	lián
受	受	shòu
廠商	厂商	chǎngshāng
隻	只	zhī
受到	受到	shòudào
一切	一切	yīqiè
或是	或是	huòshì
中央	中央	zhōngyāng
某	某	mǒu
女性	女性	nǔxìng
教學	教学	jiāoxué
極	极	jí
獲得	获得	huòdé
真的	真的	zhēnde
路	路	lù
來	来	lái
快	快	kuài
國小	国小	guóxiǎo
部份	部份	bùfèn
工程	工程	gōngchéng
女人	女人	nǔrén
舉行	举行	jǔxíng
句	句	jù
只是	只是	zhǐshì
段	段	duàn
根據	根据	gēnjù
現象	现象	xiànxiàng
人民	人民	rénmín
土地	土地	tǔdì
面對	面对	miànduì
注意	注意	zhùyì
這裡	这里	zhèlǐ
新聞	新闻	xīnwén
繼續	继续	jìxù
相信	相信	xiāngxìn
政策	政策	zhèngcè
變成	变成	biànchéng
計劃	计划	jìhuà
強調	强调	qiángdiào
學	学	xué
人士	人士	rénshì
前	前	qián
前	前	qián
存在	存在	cúnzài
制度	制度	zhìdù
意義	意义	yìyì
代表	代表	dàibiǎo
課程	课程	kèchéng
該	该	gāi
沒	没	méi
至	至	zhì
需求	需求	xūqiú
人生	人生	rénshēng
那些	那些	nǎxiē
成功	成功	chénggōng
爸爸	爸爸	bàbà
產業	产业	chǎnyè
