汉字	频次
，	86247
的	66237
。	39721
一	23824
是	20879
了	17936
不	16234
在	15581
、	15365
人	14522
有	13975
我	12356
“	11563
”	11482
中	10771
这	10264
大	10173
个	9959
和	9882
国	9731
他	9351
为	8974
上	8780
来	8484
学	7571
生	7569
要	7559
会	7550
到	7420
时	7315
地	7254
以	6991
年	6856
0	6794
就	6718
发	6668
对	6523
出	6506
们	6433
,	6165
说	6062
能	5676
也	5549
作	5310
成	5253
可	5175
子	5126
着	5097
家	5034
：	5005
后	5004
过	4989
于	4969
下	4940
自	4937
1	4839
经	4832
得	4808
方	4608
行	4568
用	4531
多	4514
现	4375
你	4357
理	4270
而	4208
实	4191
进	4188
之	4136
面	4084
里	4052
2	4045
动	4030
化	3995
都	3986
那	3974
工	3970
业	3916
小	3857
好	3819
民	3819
开	3808
分	3792
心	3746
道	3728
然	3701
主	3700
体	3686
展	3644
定	3604
她	3597
与	3596
同	3585
还	3578
事	3559
么	3555
力	3546
天	3539
没	3525
法	3515
全	3406
教	3393
高	3383
看	3371
重	3365
文	3326
当	3313
？	3299
起	3291
等	3245
所	3244
性	3213
种	3189
前	3180
从	3172
关	3172
长	3165
去	3158
新	3153
如	3146
其	3119
本	3089
政	3003
部	2981
意	2942
制	2922
机	2922
想	2843
点	2817
情	2812
间	2793
但	2769
度	2761
很	2753
应	2749
加	2748
最	2695
老	2692
些	2663
社	2623
问	2590
无	2588
公	2586
手	2556
样	2550
者	2530
产	2498
因	2498
相	2477
物	2473
合	2469
只	2465
外	2440
代	2434
明	2413
建	2386
9	2357
身	2345
提	2317
三	2313
头	2313
知	2298
世	2265
；	2237
把	2228
水	2218
系	2218
己	2212
内	2195
两	2190
日	2189
…	2182
第	2181
次	2162
正	2160
此	2146
《	2134
》	2134
电	2117
信	2100
美	2093
并	2069
活	2058
入	2055
向	2053
气	2049
保	2039
平	2036
位	2034
3	2031
十	2024
题	2015
被	1999
数	1997
将	1995
通	1981
已	1977
回	1973
利	1967
表	1961
术	1959
济	1955
5	1947
结	1947
又	1935
特	1914
什	1907
基	1904
更	1898
义	1893
比	1886
变	1884
及	1881
论	1879
果	1876
做	1872
各	1872
话	1870
常	1866
目	1864
）	1860
市	1848
资	1847
（	1845
设	1837
务	1831
强	1812
！	1808
程	1802
解	1791
或	1779
女	1757
量	1757
门	1755
感	1749
员	1738
认	1738
名	1729
安	1725
使	1700
界	1695
二	1692
立	1681
金	1670
场	1665
月	1655
先	1653
给	1641
几	1637
式	1634
西	1624
见	1620
影	1614
才	1612
由	1604
统	1593
真	1574
研	1568
持	1561
让	1556
任	1550
形	1549
放	1542
管	1539
传	1535
少	1535
色	1532
8	1531
口	1527
区	1523
改	1523
别	1522
4	1517
处	1512
期	1507
—	1498
科	1498
打	1492
总	1491
光	1487
质	1483
接	1477
东	1465
声	1458
走	1455
