汉字	频次
，	108596
的	55974
。	55331
是	39415
我	30857
一	26927
个	25570
不	23449
这	22862
了	20887
就	19668
有	18362
你	17960
在	14377
？	14176
那	14066
们	12516
人	11748
他	11000
么	10931
要	10092
来	10077
说	9675
大	9430
对	8995
、	8982
上	8500
以	8332
后	8076
好	7946
啊	7942
时	7927
会	7893
到	7873
中	7602
为	7319
也	7176
没	7056
能	7054
还	6761
看	6705
国	6491
得	6433
都	6338
可	6310
0	6222
去	6191
多	5850
什	5731
和	5702
然	5606
年	5452
学	5418
实	5359
现	5274
家	5238
下	5128
1	4941
发	4901
天	4823
出	4822
很	4766
！	4712
行	4645
样	4644
过	4592
生	4534
点	4524
方	4440
面	4364
2	4189
自	4167
想	4144
嗯	3970
子	3944
里	3893
候	3856
进	3745
所	3734
觉	3689
比	3674
开	3652
事	3647
定	3632
给	3627
成	3569
用	3564
做	3548
经	3518
地	3507
但	3506
儿	3505
业	3469
作	3444
分	3434
当	3407
道	3386
种	3344
小	3323
法	3313
（	3295
）	3288
全	3231
同	3131
它	3117
吧	3058
因	3029
知	2997
理	2965
动	2948
些	2939
本	2908
听	2877
其	2874
新	2871
前	2862
跟	2843
把	2842
呢	2833
主	2810
第	2800
两	2799
问	2786
如	2783
公	2765
最	2764
着	2763
之	2760
关	2758
于	2738
打	2718
三	2714
话	2703
力	2684
老	2673
吗	2656
民	2613
清	2580
.	2562
呀	2501
哈	2492
化	2447
西	2445
己	2428
题	2428
展	2425
别	2422
常	2403
高	2402
3	2398
重	2397
意	2394
应	2371
怎	2364
果	2356
工	2334
体	2320
真	2317
机	2289
场	2283
起	2283
长	2267
心	2262
球	2246
吃	2244
情	2230
”	2166
东	2163
加	2163
合	2158
间	2140
“	2138
等	2127
正	2118
回	2116
5	2112
边	2104
特	2100
十	2094
明	2092
非	2086
平	2072
从	2061
次	2053
…	2046
她	2046
像	2037
感	2002
而	1999
再	1991
哦	1990
今	1978
产	1956
文	1949
政	1928
部	1927
二	1912
楚	1903
告	1861
度	1858
制	1853
证	1833
电	1832
提	1821
完	1820
才	1791
持	1768
建	1764
性	1762
代	1759
只	1743
更	1740
外	1733
市	1730
师	1729
嘛	1709
者	1699
4	1686
先	1677
系	1672
强	1671
讲	1656
让	1654
反	1640
被	1638
该	1630
原	1629
相	1610
太	1609
利	1573
结	1569
司	1540
又	1537
通	1529
信	1526
8	1520
保	1516
月	1515
解	1489
向	1484
6	1480
接	1467
内	1466
放	1465
走	1465
物	1461
快	1457
9	1454
期	1442
认	1439
已	1438
哪	1435
交	1434
务	1434
位	1432
表	1429
干	1420
共	1419
量	1419
区	1417
基	1410
刚	1403
少	1398
几	1388
水	1372
党	1368
员	1366
四	1366
推	1355
社	1349
资	1349
活	1334
设	1317
钱	1317
总	1310
万	1308
买	1302
思	1299
改	1294
确	1286
决	1282
手	1282
书	1280
各	1278
入	1261
数	1260
五	1256
7	1255
金	1251
件	1248
目	1247
带	1246
考	1241
世	1236
程	1235
习	1227
教	1225
界	1215
直	1205
研	1205
马	1204
每	1201
论	1201
队	1197
斯	1190
科	1186
品	1180
嘿	1160
任	1157
号	1155
头	1155
写	1148
创	1148
变	1147
院	1145
处	1143
断	1138
记	1132
台	1130
义	1129
日	1129
哎	1127
据	1121
始	1116
妈	1107
元	1105
-	1103
近	1102
叫	1101
坚	1101
门	1100
路	1095
式	1092
管	1090
身	1088
算	1087
车	1083
与	1076
较	1076
际	1076
调	1068
计	1062
质	1057
单	1053
规	1046
领	1044
海	1038
议	1037
无	1035
造	1034
难	1030
友	1028
孩	1028
拿	1026
权	1024
找	1021
张	1017
够	1015
需	1015
城	1013
支	1011
见	1010
或	1009
诉	1005
深	1003
安	989
美	987
北	979
整	979
服	978
导	975
色	975
课	971
赛	968
办	966
克	965
并	964
求	963
治	962
格	960
运	957
统	951
立	941
《	940
》	940
受	937
线	936
@	935
传	935
名	932
战	926
济	922
转	922
选	920
流	913
影	910
革	908
某	902
增	900
息	900
标	899
；	899
尔	897
精	895
请	894
术	892
且	891
案	891
农	888
观	885
及	884
协	875
商	875
口	873
价	868
德	868
续	865
周	864
收	861
咱	860
块	848
将	846
投	846
欢	843
条	836
住	830
百	825
包	820
易	815
视	809
节	801
技	799
历	798
挺	798
防	797
复	796
报	795
房	794
字	790
差	786
e	785
校	785
喜	783
语	783
联	779
护	778
费	777
步	776
命	772
您	771
构	771
团	768
肯	768
责	766
神	761
识	759
声	758
取	757
由	753
谁	751
山	747
女	746
指	745
准	743
网	743
形	741
段	738
究	738
光	730
象	727
错	725
态	719
首	718
史	717
使	715
效	715
委	710
根	710
玩	710
达	710
项	710
风	710
辩	709
专	708
容	705
试	702
组	701
越	700
往	699
必	697
育	695
读	695
查	692
六	691
军	691
气	688
源	687
京	685
类	685
具	681
企	678
判	677
底	677
控	677
音	666
拉	664
华	661
空	659
至	655
演	649
爸	646
众	645
何	645
环	645
况	641
广	641
a	640
例	639
策	635
验	634
势	633
级	622
图	621
望	620
款	620
晚	619
功	618
爱	618
央	614
英	614
奥	611
示	611
早	609
局	608
乐	602
半	601
户	601
优	596
啥	596
型	596
病	594
o	587
热	583
照	583
集	583
连	582
死	580
维	577
八	572
注	570
远	570
继	569
备	568
谢	565
%	564
米	564
兴	563
i	560
审	559
供	556
白	552
施	551
消	551
言	548
花	547
存	545
攻	545
争	544
此	542
江	540
岁	538
稳	535
境	533
括	532
律	531
未	529
歌	529
啦	527
域	527
布	526
极	522
坐	521
犯	520
失	517
青	517
火	516
互	514
士	514
率	514
朋	511
突	510
眼	508
融	507
班	505
角	502
：	502
饭	501
亚	499
希	499
微	497
片	497
姐	494
落	493
族	492
林	492
慢	491
限	491
参	488
份	486
超	485
弄	483
千	482
南	480
双	480
念	480
速	480
显	479
阿	477
t	475
切	474
担	474
轻	474
举	471
便	471
升	471
奇	471
村	469
医	467
养	465
掉	465
七	464
响	463
亲	461
飞	461
巴	460
退	460
除	460
王	459
依	458
范	454
助	453
模	453
n	452
客	452
换	452
核	452
善	450
离	449
卖	447
故	447
债	446
器	445
九	444
另	444
站	444
印	442
层	441
值	440
句	440
害	439
板	439
普	438
钟	437
r	436
哟	436
引	436
陈	435
姆	434
置	432
承	430
低	429
帮	429
群	429
词	427
险	425
亿	424
录	424
装	424
背	423
采	423
博	421
简	420
哇	419
男	419
紧	419
志	418
按	417
严	415
富	415
愿	415
假	414
压	414
破	414
充	413
职	413
状	412
—	411
终	411
罪	411
排	410
午	408
积	408
检	405
笑	404
货	404
睡	403
红	403
约	403
划	401
画	401
减	400
庭	399
略	398
A	397
满	397
额	397
列	395
府	393
省	392
致	392
须	391
营	389
足	389
拍	388
补	386
谈	386
择	384
艺	382
否	380
围	380
跑	378
福	377
贵	377
困	375
怕	375
纳	374
罗	374
送	372
黄	372
借	371
穿	371
银	371
俩	368
景	368
