词语	频次
，	86025
的	65343
。	39560
了	16829
是	16785
、	15284
在	13257
“	11537
”	11440
一	10597
不	9452
和	9221
我	8618
他	7209
有	6432
,	6163
人	5468
就	5441
也	5278
这	4959
：	4918
上	4742
说	4318
中	4303
对	4271
着	3949
到	3943
你	3929
地	3701
都	3669
一个	3561
要	3504
她	3467
为	3408
个	3302
？	3192
与	3179
大	3014
来	2825
我们	2804
会	2596
还	2552
发展	2534
等	2521
中国	2488
而	2410
从	2358
能	2327
多	2321
；	2234
很	2185
自己	2152
《	2121
…	2114
》	2103
好	2083
把	2063
没有	2053
年	2034
得	1993
但	1984
那	1971
以	1945
里	1943
又	1924
去	1913
下	1888
后	1872
被	1864
）	1857
之	1845
出	1842
（	1841
两	1825
社会	1809
！	1804
过	1797
看	1767
将	1736
工作	1724
可以	1693
时	1687
并	1671
最	1650
经济	1551
他们	1544
用	1536
问题	1506
小	1491
新	1468
这个	1463
让	1459
更	1432
种	1427
什么	1423
只	1401
可	1358
次	1358
给	1355
于	1334
做	1324
想	1313
三	1312
没	1260
所	1219
其	1217
或	1181
向	1103
才	1095
天	1094
几	1087
走	1087
文化	1058
起	1039
却	1038
它	1019
这样	1011
技术	1009
已经	1007
因为	994
研究	994
国家	989
知道	981
进行	956
再	954
世界	949
高	933
)	916
重要	914
生活	899
家	897
建设	893
前	888
时间	885
(	868
像	863
时候	861
使	854
这些	848
如果	833
如	832
道	813
需要	813
成	803
起来	802
现在	798
当	786
已	776
开始	776
第一	772
一些	765
美国	761
成为	752
吃	750
位	746
国际	741
事	739
可能	734
认为	725
学生	713
则	705
这种	692
改革	690
但是	686
们	683
公司	678
及	676
通过	676
二	674
所以	673
由	671
呢	668
教育	663
不同	655
大学	654
点	654
头	652
方法	649
无	647
话	645
主要	644
跟	643
作为	640
关系	640
太	637
条	636
四	635
应	635
影响	634
企业	633
——	631
进	631
活动	629
吧	628
方面	621
人民	613
孩子	613
手	607
开	606
问	603
一定	602
要求	601
理论	600
信息	599
我国	599
管理	599
张	598
吗	597
宗教	588
就是	585
选择	578
正	576
老	575
者	572
内	564
性	563
真	560
发现	559
情况	558
比	558
岁	557
学习	554
组织	553
以及	549
具有	549
人们	545
政治	544
便	543
提高	543
叫	533
怎么	533
政策	531
长	531
听	529
对于	528
啊	527
本	524
历史	520
死	518
环境	518
制度	517
找	511
名	510
:	509
打	509
较	509
存在	508
因此	507
那么	507
系统	506
带	502
提出	502
见	498
当时	494
作用	493
出现	492
北京	492
各	492
而且	491
民族	490
科学	490
同时	488
水	488
写	487
基础	486
该	485
能力	484
觉得	484
变化	483
笑	483
结构	483
钱	481
出来	480
地方	478
党	476
一样	475
虽然	475
创新	472
元	471
由于	471
回	469
外	469
政府	469
住	468
其他	465
实现	464
还是	464
方式	462
行为	462
安全	461
过程	461
思想	460
精神	460
""""	459
发生	458
声	457
应该	457
此	457
即	456
服务	455
地区	454
之后	450
谁	450
每	449
1	447
必须	446
基本	443
加强	442
提供	442
市场	439
非常	439
一直	438
建立	437
很多	437
或者	437
形成	432
快	428
为了	425
生	425
?	424
特别	421
3	420
之间	416
网络	416
这么	416
危机	411
看到	411
传统	409
资源	409
你们	408
车	408
增长	407
数据	407
世纪	406
今天	405
坐	405
最后	402
甚至	402
有关	401
自	401
所有	398
金融	398
句	397
部门	396
五	395
东西	392
月	392
领导	392
曾	390
件	389
人员	388
大家	388
事情	387
这里	387
同	386
父亲	386
积极	386
老师	386
全国	385
推进	385
先	384
学	384
意义	384
产生	383
然后	383
部	383
变	382
排	382
一起	380
学校	380
控制	380
目标	380
化	379
半	379
心	378
站	378
那个	378
不断	376
第二	374
得到	373
美	372
利用	370
包括	369
气	368
还有	366
口	364
过去	364
拿	363
水平	363
相	363
2	362
一般	362
其中	362
其实	362
条件	361
相关	360
能够	360
许多	359
分析	358
国	358
投资	358
城市	356
促进	355
农村	355
继续	355
间	355
您	352
连	351
一点	350
应用	349
解决	349
处	348
总	348
法	348
自然	348
认识	348
买	347
体系	346
指	346
时代	346
上海	344
坚持	344
先生	343
努力	342
结果	340
受	339
质量	338
难	338
少	336
一下	335
十	335
知识	335
保障	334
保持	333
放	333
门	333
行	332
电影	331
突然	331
