词语	频次
，	108596
。	55331
的	53009
我	22155
是	20587
了	19130
你	16442
？	14176
就	11243
在	10069
、	8982
不	8487
他	8385
我们	7857
啊	7817
有	7739
这个	7557
这	7372
一个	7303
就是	6919
也	6801
说	6724
都	6114
对	5860
那	5484
和	5097
要	4898
！	4712
什么	4295
那个	4156
人	4002
嗯	3970
然后	3902
去	3765
没有	3760
好	3310
（	3295
）	3288
时候	3183
到	3090
给	3067
看	3066
会	3020
还	3015
可以	2981
吧	2976
它	2939
上	2841
现在	2837
呢	2830
做	2645
跟	2645
很	2637
把	2629
但是	2566
不是	2565
觉得	2494
吗	2452
来	2445
自己	2394
知道	2240
因为	2212
听	2179
”	2166
“	2138
这样	2075
…	2046
所以	1978
多	1971
想	1949
他们	1942
呀	1930
哦	1926
可能	1913
她	1880
清楚	1809
发展	1728
中国	1695
问题	1690
得	1678
还是	1659
个	1617
中	1575
嘛	1571
怎么	1566
一	1558
没	1558
大	1539
又	1524
年	1512
大家	1499
那么	1495
再	1493
能	1491
其实	1485
还有	1469
为	1448
吃	1426
东西	1406
着	1404
从	1378
今天	1369
你们	1362
过	1350
非常	1339
如果	1314
一下	1313
让	1284
这么	1275
等	1228
的话	1210
用	1206
一些	1199
公司	1196
应该	1183
已经	1141
很多	1138
新	1115
这种	1113
-	1103
老师	1091
像	1090
打	1046
太	1017
讲	1008
工作	989
不能	988
更	987
是不是	984
两个	970
出来	968
特别	964
月	955
《	940
》	940
这些	936
@	935
叫	925
比较	923
一样	921
开始	917
但	904
；	899
最	894
感觉	890
当时	881
真的	847
看到	843
买	835
那种	826
里面	821
一点	813
走	812
之后	803
重要	802
为什么	796
以后	793
与	790
被	786
以	782
写	782
国家	760
地	759
时间	758
不要	755
而且	755
而	752
号	742
下	738
不会	738
1	737
需要	735
拿	725
您	720
地方	714
一定	710
并	709
或者	709
反正	706
找	704
好像	700
3	698
刚才	694
里	690
世界	687
谁	687
钱	686
一种	676
喜欢	675
比	675
小	671
才	658
点	656
进行	650
向	646
能够	645
先	626
起来	624
事情	623
经济	620
建设	597
将	593
肯定	592
问	588
球	586
2	577
孩子	576
同学	574
挺	570
哪	567
坚持	567
社会	567
完	565
%	564
最后	541
行	541
多少	540
情况	536
后来	532
一直	522
一次	514
快	512
哎	507
生活	506
这里	505
啦	502
当	502
：	502
企业	497
发现	494
通过	494
高	492
包括	485
关系	479
事	470
所有	470
比如说	468
哎呀	467
回来	465
当然	463
人民	461
带	461
推进	461
支持	459
5	457
主要	455
打断	452
习近平	451
咱们	450
推动	449
研究	448
学习	445
之前	444
学校	444
那边	444
北京	443
啥	442
直接	442
告诉	441
分	438
看看	438
一起	437
确实	437
作为	435
信息	434
历史	431
后	431
妈	428
创新	427
比赛	425
过去	425
们	421
方面	418
精神	418
对方	417
学	416
之	413
继续	413
—	411
人家	411
当中	409
时代	407
认为	406
机会	403
其他	402
加强	402
只有	400
请	400
今年	398
希望	397
文化	397
过程	397
党	395
全面	395
国际	394
有点	393
实现	391
朋友	391
美国	390
日	389
不行	386
改革	384
市场	379
第	379
以前	378
干	378
4	376
弄	376
大学	373
对于	373
必须	373
出	368
老	368
不同	364
前	363
结果	363
关于	362
不断	360
要求	360
整个	359
方式	359
课	357
哈哈哈	356
每	356
所	355
能力	353
被告	352
这边	351
三个	350
几个	350
成为	350
选择	349
就是说	348
怎么样	347
教育	346
长	346
不好	345
行为	345
那些	345
10	343
哇	342
时	339
原告	335
家	334
来说	334
该	334
咱	333
嘿嘿	332
证据	330
由	327
影响	326
服务	326
开	325
不用	324
被告人	324
】	323
一天	323
发生	323
可	323
解决	323
过来	323
【	322
住	321
别人	320
有没有	320
证明	320
合作	319
三	317
儿	316
技术	316
于	315
学生	315
政策	315
只	314
领域	312
某	311
社会主义	308
制度	307
城市	307
提出	307
一般	306
意思	306
晚上	306
完全	303
对对	303
样子	303
上面	302
只是	302
首先	302
玩	300
其	299
产品	297
出去	297
提供	297
代表	293
6	292
要是	292
出现	291
真是	291
唉	290
了解	289
真	288
这儿	288
规定	287
别	285
另外	285
电影	284
第一	284
个人	283
办法	283
坐	283
记得	283
詹姆斯	282
基本	281
