# https://lingua.mtsu.edu/chinese-computing/old-version1/statistics/hxwz.html
# Chinese text computing
# (This is the 1998 version)
# Character Frequency List
# Hua Xia Wen Zhai
# 华夏文摘单字字频列表
# Total number of characters: 11,578,283
# Number of distinctive characters: 5,764
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage

1	的	468466	468466	4.0461%
2	一	201759	670225	5.7886%
3	是	162420	832645	7.1914%
4	不	142448	975093	8.4217%
5	人	135458	1110551	9.5917%
6	了	128020	1238571	10.6974%
7	我	118010	1356581	11.7166%
8	在	116613	1473194	12.7238%
9	有	107823	1581017	13.6550%
10	国	99101	1680118	14.5109%
11	中	97535	1777653	15.3533%
12	这	82126	1859779	16.0626%
13	大	81054	1940833	16.7627%
14	他	76406	2017239	17.4226%
15	个	73792	2091031	18.0599%
16	上	68807	2159838	18.6542%
17	来	67443	2227281	19.2367%
18	们	66984	2294265	19.8152%
19	到	58533	2352798	20.3208%
20	为	57530	2410328	20.8177%
21	年	56753	2467081	21.3078%
22	和	53490	2520571	21.7698%
23	地	51685	2572256	22.2162%
24	时	51620	2623876	22.6620%
25	就	49763	2673639	23.0918%
26	说	48722	2722361	23.5126%
27	生	47245	2769606	23.9207%
28	出	46633	2816239	24.3235%
29	也	46337	2862576	24.7237%
30	会	45171	2907747	25.1138%
31	以	44926	2952673	25.5018%
32	学	44749	2997422	25.8883%
33	要	44026	3041448	26.2686%
34	对	43703	3085151	26.6460%
35	自	42773	3127924	27.0154%
36	文	41990	3169914	27.3781%
37	子	41191	3211105	27.7339%
38	家	39096	3250201	28.0715%
39	那	38134	3288335	28.4009%
40	得	38030	3326365	28.7293%
41	后	37295	3363660	29.0515%
42	可	35471	3399131	29.3578%
43	而	35395	3434526	29.6635%
44	下	35333	3469859	29.9687%
45	多	34984	3504843	30.2708%
46	十	34902	3539745	30.5723%
47	过	34427	3574172	30.8696%
48	之	34297	3608469	31.1658%
49	民	33279	3641748	31.4533%
50	于	33020	3674768	31.7385%
51	日	32162	3706930	32.0162%
52	里	31686	3738616	32.2899%
53	能	31058	3769674	32.5581%
54	都	30903	3800577	32.8250%
55	着	30512	3831089	33.0886%
56	去	29836	3860925	33.3463%
57	小	29412	3890337	33.6003%
58	天	29286	3919623	33.8532%
59	当	28979	3948602	34.1035%
60	主	28682	3977284	34.3512%
61	没	28678	4005962	34.5989%
62	本	28529	4034491	34.8453%
63	你	28489	4062980	35.0914%
64	成	28161	4091141	35.3346%
65	然	28013	4119154	35.5766%
66	还	27973	4147127	35.8182%
67	作	27802	4174929	36.0583%
68	么	27735	4202664	36.2978%
69	发	27494	4230158	36.5353%
70	事	27227	4257385	36.7704%
71	美	26170	4283555	36.9965%
72	同	25746	4309301	37.2188%
73	方	25554	4334855	37.4395%
74	所	25413	4360268	37.6590%
75	者	25209	4385477	37.8767%
76	如	25186	4410663	38.0943%
77	好	25112	4435775	38.3112%
78	经	24987	4460762	38.5270%
79	行	24905	4485667	38.7421%
80	心	24352	4510019	38.9524%
81	看	24091	4534110	39.1605%
82	月	23838	4557948	39.3664%
83	起	23837	4581785	39.5722%
84	三	23736	4605521	39.7772%
85	开	23444	4628965	39.9797%
86	政	23399	4652364	40.1818%
87	无	23311	4675675	40.3831%
88	动	22878	4698553	40.5807%
89	些	22707	4721260	40.7769%
90	现	22687	4743947	40.9728%
91	想	22680	4766627	41.1687%
92	外	22546	4789173	41.3634%
93	种	22511	4811684	41.5578%
94	二	22471	4834155	41.7519%
95	用	22435	4856590	41.9457%
96	道	22239	4878829	42.1378%
97	前	22136	4900965	42.3289%
98	分	21849	4922814	42.5177%
99	从	21815	4944629	42.7061%
100	面	21568	4966197	42.8923%
101	样	21289	4987486	43.0762%
102	其	21230	5008716	43.2596%
103	她	21128	5029844	43.4421%
104	九	21107	5050951	43.6244%
105	工	20964	5071915	43.8054%
106	实	20853	5092768	43.9855%
107	法	20647	5113415	44.1638%
108	与	20494	5133909	44.3408%
109	只	20446	5154355	44.5174%
110	明	20289	5174644	44.6927%
111	但	20193	5194837	44.8671%
112	被	20136	5214973	45.0410%
113	理	19803	5234776	45.2120%
114	部	19774	5254550	45.3828%
115	意	19668	5274218	45.5527%
116	公	19620	5293838	45.7221%
117	长	19261	5313099	45.8885%
118	名	19003	5332102	46.0526%
119	四	18843	5350945	46.2154%
120	很	18779	5369724	46.3776%
121	最	18752	5388476	46.5395%
122	知	18675	5407151	46.7008%
123	情	18636	5425787	46.8618%
124	因	18517	5444304	47.0217%
125	老	18498	5462802	47.1815%
126	问	18160	5480962	47.3383%
127	已	17992	5498954	47.4937%
128	进	17922	5516876	47.6485%
129	定	17723	5534599	47.8016%
130	高	17706	5552305	47.9545%
131	全	17629	5569934	48.1067%
132	把	17570	5587504	48.2585%
133	又	17404	5604908	48.4088%
134	回	17385	5622293	48.5590%
135	几	17307	5639600	48.7084%
136	北	17197	5656797	48.8570%
137	此	17069	5673866	49.0044%
138	两	16901	5690767	49.1504%
139	己	16792	5707559	49.2954%
140	力	16688	5724247	49.4395%
141	新	16661	5740908	49.5834%
142	点	16628	5757536	49.7270%
143	正	16469	5774005	49.8693%
144	五	16335	5790340	50.0104%
145	代	16235	5806575	50.1506%
146	第	16214	5822789	50.2906%
147	期	16190	5838979	50.4304%
148	位	15935	5854914	50.5681%
149	关	15868	5870782	50.7051%
150	头	15862	5886644	50.8421%
151	话	15778	5902422	50.9784%
152	华	15755	5918177	51.1145%
153	革	15742	5933919	51.2504%
154	报	15631	5949550	51.3854%
155	反	15523	5965073	51.5195%
156	化	15372	5980445	51.6523%
157	次	15327	5995772	51.7846%
