# https://lingua.mtsu.edu/chinese-computing/old-version1/statistics/total.html
# Chinese text computing
# (This is the 1998 version)
# Character Frequency List
# The entire corpus
# 语料库单字总字频列表
# Total number of characters: 45,376,453
# Number of distinctive characters: 6,538
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage

1	的	1588561	1588561	3.5008%
2	一	773042	2361603	5.2045%
3	是	610500	2972103	6.5499%
4	不	593413	3565516	7.8576%
5	了	582483	4147999	9.1413%
6	人	490625	4638624	10.2225%
7	我	460548	5099172	11.2375%
8	在	437822	5536994	12.2024%
9	有	384079	5921073	13.0488%
10	他	375130	6296203	13.8755%
11	这	339449	6635652	14.6236%
12	中	325645	6961297	15.3412%
13	大	304144	7265441	16.0115%
14	来	291556	7556997	16.6540%
15	上	288858	7845855	17.2906%
16	国	283388	8129243	17.9151%
17	个	269921	8399164	18.5100%
18	到	233340	8632504	19.0242%
19	说	230573	8863077	19.5323%
20	们	224962	9088039	20.0281%
21	为	200912	9288951	20.4709%
22	子	200290	9489241	20.9123%
23	和	199750	9688991	21.3525%
24	你	198011	9887002	21.7888%
25	地	195486	10082488	22.2196%
26	出	193193	10275681	22.6454%
27	道	191096	10466777	23.0665%
28	也	187385	10654162	23.4795%
29	时	187010	10841172	23.8916%
30	年	182681	11023853	24.2942%
31	得	180137	11203990	24.6912%
32	就	176794	11380784	25.0808%
33	那	173688	11554472	25.4636%
34	要	168321	11722793	25.8345%
35	下	166384	11889177	26.2012%
36	以	158560	12047737	26.5506%
37	生	155894	12203631	26.8942%
38	会	155573	12359204	27.2370%
39	自	154711	12513915	27.5780%
40	着	152016	12665931	27.9130%
41	去	150166	12816097	28.2439%
42	之	148780	12964877	28.5718%
43	过	148619	13113496	28.8993%
44	家	147391	13260887	29.2242%
45	学	142078	13402965	29.5373%
46	对	141466	13544431	29.8490%
47	可	140894	13685325	30.1595%
48	她	138508	13823833	30.4648%
49	里	136415	13960248	30.7654%
50	后	134798	14095046	31.0625%
51	小	132961	14228007	31.3555%
52	么	125563	14353570	31.6322%
53	心	124303	14477873	31.9061%
54	多	122651	14600524	32.1764%
55	天	119231	14719755	32.4392%
56	而	118061	14837816	32.6994%
57	能	115046	14952862	32.9529%
58	好	114833	15067695	33.2060%
59	都	114742	15182437	33.4588%
60	然	114326	15296763	33.7108%
61	没	110997	15407760	33.9554%
62	日	108073	15515833	34.1936%
63	于	107565	15623398	34.4306%
64	起	106705	15730103	34.6658%
65	还	105817	15835920	34.8990%
66	发	105707	15941627	35.1319%
67	成	105275	16046902	35.3639%
68	事	104324	16151226	35.5938%
69	只	104111	16255337	35.8233%
70	作	101836	16357173	36.0477%
71	当	100920	16458093	36.2701%
72	想	98825	16556918	36.4879%
73	看	98020	16654938	36.7039%
74	文	97452	16752390	36.9187%
75	无	97087	16849477	37.1326%
76	开	96167	16945644	37.3446%
77	手	96050	17041694	37.5562%
78	十	95936	17137630	37.7677%
79	用	94561	17232191	37.9761%
