單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
一	2		1	10843	1.637%	10843	5.711%	360	99.17%
的	1		8	26987	4.074%	37830	4.074%	358	98.62%
在	6		6	6756	1.020%	44586	10.32%	358	98.62%
有	7		6	6694	1.011%	51280	11.33%	352	96.97%
是	3		9	8712	1.315%	59992	7.027%	346	95.32%
不	4		4	7660	1.156%	67652	8.183%	346	95.32%
上	16		3	3548	0.5357%	71200	17.39%	341	93.94%
中	13		4	3872	0.5846%	75072	15.73%	337	92.84%
人	8		2	5809	0.877%	80881	12.20%	336	92.56%
為	11		9	4682	0.7069%	85563	14.48%	336	92.56%
以	12		5	4427	0.6684%	89990	15.15%	334	92.01%
大	17		3	3431	0.518%	93421	17.90%	333	91.74%
來	20		8	3207	0.4842%	96628	19.40%	333	91.74%
時	18		10	3410	0.5148%	100038	18.42%	330	90.91%
自	40		6	2112	0.3189%	102150	27.02%	327	90.08%
而	19		6	3261	0.4923%	105411	18.91%	325	89.53%
可	25		5	2908	0.439%	108319	21.69%	323	88.98%
生	24		5	2998	0.4526%	111317	21.26%	322	88.71%
於	26		8	2882	0.4351%	114199	22.13%	322	88.71%
個	23		10	2999	0.4528%	117198	20.80%	320	88.15%
要	32		9	2310	0.3488%	119508	24.38%	320	88.15%
地	27		6	2714	0.4097%	122222	22.54%	319	87.88%
了	9		2	5211	0.7867%	127433	12.99%	318	87.60%
這	14		10	3833	0.5787%	131266	16.31%	318	87.60%
到	28		8	2618	0.3953%	133884	22.93%	316	87.05%
之	10		4	5162	0.7793%	139046	13.77%	314	86.50%
得	33		11	2304	0.3478%	141350	24.73%	313	86.23%
後	56		9	1780	0.2687%	143130	31.66%	312	85.95%
多	44		6	2014	0.3041%	145144	28.26%	310	85.40%
然	52		12	1855	0.2801%	146999	30.57%	310	85.40%
如	39		6	2122	0.3204%	149121	26.70%	309	85.12%
出	48		5	1897	0.2864%	151018	29.44%	309	85.12%
下	62		3	1690	0.2551%	152708	33.22%	309	85.12%
成	54		6	1831	0.2764%	154539	31.13%	307	84.57%
我	5		7	7375	1.113%	161914	9.297%	305	84.02%
所	30		8	2385	0.3601%	164299	23.68%	305	84.02%
對	49		14	1897	0.2864%	166196	29.73%	304	83.75%
過	61		12	1704	0.2573%	167900	32.97%	304	83.75%
會	37		13	2159	0.326%	170059	26.06%	302	83.20%
但	78		7	1445	0.2182%	171504	37.04%	300	82.64%
年	31		6	2357	0.3559%	173861	24.03%	298	82.09%
他	21		5	3179	0.480%	177040	19.88%	296	81.54%
也	29		3	2540	0.3835%	179580	23.32%	296	81.54%
能	43		10	2033	0.3069%	181613	27.95%	295	81.27%
前	89		9	1331	0.2009%	182944	39.32%	294	80.99%
們	22		10	3138	0.4738%	186082	20.35%	293	80.72%
同	84		6	1381	0.2085%	187463	38.30%	293	80.72%
經	68		13	1637	0.2471%	189100	34.73%	292	80.44%
發	59		12	1734	0.2618%	190834	32.45%	291	80.17%
