單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
的	1		8	29825	4.534%	29825	4.534%	319	99.69%
一	2		1	11054	1.680%	40879	6.214%	319	99.69%
是	3		9	9755	1.483%	50634	7.697%	319	99.69%
不	4		4	8359	1.271%	58993	8.968%	317	99.06%
人	5		2	7107	1.080%	66100	10.05%	319	99.69%
在	6		6	6931	1.054%	73031	11.10%	319	99.69%
有	7		6	6530	0.9927%	79561	12.09%	317	99.06%
我	8		7	6420	0.976%	85981	13.07%	297	92.81%
了	9		2	4841	0.7359%	90822	13.81%	316	98.75%
中	10		4	4525	0.6879%	95347	14.49%	317	99.06%
國	11		11	3927	0.597%	99274	15.09%	264	82.50%
這	12		10	3820	0.5807%	103094	15.67%	314	98.13%
為	13		9	3791	0.5763%	106885	16.25%	314	98.13%
以	14		5	3512	0.5339%	110397	16.78%	312	97.50%
來	15		8	3449	0.5243%	113846	17.31%	316	98.75%
大	16		3	3421	0.5201%	117267	17.83%	315	98.44%
之	17		4	3364	0.5114%	120631	18.34%	301	94.06%
生	18		5	3341	0.5079%	123972	18.85%	305	95.31%
個	19		10	3311	0.5033%	127283	19.35%	312	97.50%
他	20		5	3307	0.5027%	130590	19.85%	296	92.50%
上	21		3	3244	0.4931%	133834	20.35%	317	99.06%
而	22		6	3087	0.4693%	136921	20.81%	310	96.88%
會	23		13	3027	0.4602%	139948	21.27%	303	94.69%
們	24		10	2942	0.4472%	142890	21.72%	289	90.31%
也	25		3	2934	0.446%	145824	22.17%	310	96.88%
時	26		10	2907	0.4419%	148731	22.61%	307	95.94%
到	27		8	2724	0.4141%	151455	23.02%	315	98.44%
可	28		5	2561	0.3893%	154016	23.41%	308	96.25%
年	29		6	2513	0.382%	156529	23.80%	299	93.44%
自	30		6	2497	0.3796%	159026	24.17%	300	93.75%
地	31		6	2411	0.3665%	161437	24.54%	295	92.19%
要	32		9	2382	0.3621%	163819	24.90%	303	94.69%
對	33		14	2371	0.3604%	166190	25.26%	301	94.06%
與	34		14	2362	0.3591%	168552	25.62%	284	88.75%
能	35		10	2354	0.3579%	170906	25.98%	295	92.19%
那	36		6	2240	0.3405%	173146	26.32%	269	84.06%
就	37		12	2164	0.329%	175310	26.65%	307	95.94%
於	38		8	2124	0.3229%	177434	26.97%	307	95.94%
出	39		5	2113	0.3212%	179547	27.29%	305	95.31%
子	40		3	2103	0.3197%	181650	27.61%	272	85.00%
說	41		14	2093	0.3182%	183743	27.93%	295	92.19%
家	42		10	2055	0.3124%	185798	28.24%	288	90.00%
然	43		12	2050	0.3116%	187848	28.56%	297	92.81%
成	44		6	2045	0.3109%	189893	28.87%	305	95.31%
著	45		12	2034	0.3092%	191927	29.18%	278	86.88%
如	46		6	2026	0.308%	193953	29.48%	297	92.81%
過	47		12	2026	0.308%	195979	29.79%	314	98.13%
得	48		11	2000	0.304%	197979	30.10%	305	95.31%
心	49		4	1979	0.3008%	199958	30.40%	295	92.19%
下	50		3	1877	0.2853%	201835	30.68%	305	95.31%
多	51		6	1877	0.2853%	203712	30.97%	301	94.06%
作	52		7	1863	0.2832%	205575	31.25%	271	84.69%
和	53		8	1858	0.2825%	207433	31.53%	285	89.06%
所	54		8	1820	0.2767%	209253	31.81%	294	91.88%
後	55		9	1803	0.2741%	211056	32.08%	305	95.31%
十	56		2	1799	0.2735%	212855	32.36%	274	85.63%
天	57		4	1738	0.2642%	214593	32.62%	276	86.25%
無	58		12	1730	0.263%	216323	32.89%	298	93.13%
都	59		9	1710	0.260%	218033	33.15%	300	93.75%
情	60		11	1708	0.2596%	219741	33.40%	276	86.25%
民	61		5	1697	0.258%	221438	33.66%	211	65.94%
學	62		16	1690	0.2569%	223128	33.92%	243	75.94%
小	63		3	1674	0.2545%	224802	34.17%	270	84.38%
現	64		11	1572	0.239%	226374	34.41%	293	91.56%
政	65		9	1534	0.2332%	227908	34.65%	161	50.31%
因	66		6	1518	0.2308%	229426	34.88%	287	89.69%
此	67		6	1508	0.2292%	230934	35.11%	280	87.50%
當	68		13	1490	0.2265%	232424	35.33%	296	92.50%
事	69		8	1485	0.2257%	233909	35.56%	287	89.69%
前	70		9	1479	0.2248%	235388	35.78%	296	92.50%
去	71		5	1478	0.2247%	236866	36.01%	291	90.94%
種	72		14	1467	0.223%	238333	36.23%	276	86.25%
其	73		8	1450	0.2204%	239783	36.45%	274	85.63%
行	74		6	1443	0.2194%	241226	36.67%	276	86.25%
意	75		13	1441	0.2191%	242667	36.89%	289	90.31%
方	76		4	1416	0.2153%	244083	37.11%	279	87.19%
文	77		4	1411	0.2145%	245494	37.32%	231	72.19%
日	78		4	1402	0.2131%	246896	37.53%	282	88.13%
好	79		6	1394	0.2119%	248290	37.74%	273	85.31%
實	80		14	1387	0.2109%	249677	37.96%	288	90.00%
但	81		7	1365	0.2075%	251042	38.16%	292	91.25%
想	82		13	1364	0.2074%	252406	38.37%	277	86.56%
發	83		12	1363	0.2072%	253769	38.58%	289	90.31%
經	84		13	1361	0.2069%	255130	38.78%	286	89.38%
性	85		8	1345	0.2045%	256475	38.99%	228	71.25%
者	86		8	1345	0.2045%	257820	39.19%	255	79.69%
