八、九十年代台灣字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
的	1		8	29825	4.534%	29825	4.534%	319	99.69%
一	2		1	11054	1.680%	40879	6.214%	319	99.69%
是	3		9	9755	1.483%	50634	7.697%	319	99.69%
人	5		2	7107	1.080%	57741	10.05%	319	99.69%
在	6		6	6931	1.054%	64672	11.10%	319	99.69%
不	4		4	8359	1.271%	73031	8.968%	317	99.06%
有	7		6	6530	0.9927%	79561	12.09%	317	99.06%
中	10		4	4525	0.6879%	84086	14.49%	317	99.06%
上	21		3	3244	0.4931%	87330	20.35%	317	99.06%
了	9		2	4841	0.7359%	92171	13.81%	316	98.75%
來	15		8	3449	0.5243%	95620	17.31%	316	98.75%
大	16		3	3421	0.5201%	99041	17.83%	315	98.44%
到	27		8	2724	0.4141%	101765	23.02%	315	98.44%
這	12		10	3820	0.5807%	105585	15.67%	314	98.13%
為	13		9	3791	0.5763%	109376	16.25%	314	98.13%
過	47		12	2026	0.308%	111402	29.79%	314	98.13%
以	14		5	3512	0.5339%	114914	16.78%	312	97.50%
個	19		10	3311	0.5033%	118225	19.35%	312	97.50%
而	22		6	3087	0.4693%	121312	20.81%	310	96.88%
也	25		3	2934	0.446%	124246	22.17%	310	96.88%
可	28		5	2561	0.3893%	126807	23.41%	308	96.25%
時	26		10	2907	0.4419%	129714	22.61%	307	95.94%
就	37		12	2164	0.329%	131878	26.65%	307	95.94%
於	38		8	2124	0.3229%	134002	26.97%	307	95.94%
生	18		5	3341	0.5079%	137343	18.85%	305	95.31%
出	39		5	2113	0.3212%	139456	27.29%	305	95.31%
成	44		6	2045	0.3109%	141501	28.87%	305	95.31%
得	48		11	2000	0.304%	143501	30.10%	305	95.31%
下	50		3	1877	0.2853%	145378	30.68%	305	95.31%
後	55		9	1803	0.2741%	147181	32.08%	305	95.31%
會	23		13	3027	0.4602%	150208	21.27%	303	94.69%
要	32		9	2382	0.3621%	152590	24.90%	303	94.69%
之	17		4	3364	0.5114%	155954	18.34%	301	94.06%
對	33		14	2371	0.3604%	158325	25.26%	301	94.06%
多	51		6	1877	0.2853%	160202	30.97%	301	94.06%
自	30		6	2497	0.3796%	162699	24.17%	300	93.75%
都	59		9	1710	0.260%	164409	33.15%	300	93.75%
年	29		6	2513	0.382%	166922	23.80%	299	93.44%
無	58		12	1730	0.263%	168652	32.89%	298	93.13%
我	8		7	6420	0.976%	175072	13.07%	297	92.81%
然	43		12	2050	0.3116%	177122	28.56%	297	92.81%
如	46		6	2026	0.308%	179148	29.48%	297	92.81%
他	20		5	3307	0.5027%	182455	19.85%	296	92.50%
當	68		13	1490	0.2265%	183945	35.33%	296	92.50%
前	70		9	1479	0.2248%	185424	35.78%	296	92.50%
地	31		6	2411	0.3665%	187835	24.54%	295	92.19%
能	35		10	2354	0.3579%	190189	25.98%	295	92.19%
說	41		14	2093	0.3182%	192282	27.93%	295	92.19%
心	49		4	1979	0.3008%	194261	30.40%	295	92.19%
所	54		8	1820	0.2767%	196081	31.81%	294	91.88%
現	64		11	1572	0.239%	197653	34.41%	293	91.56%
但	81		7	1365	0.2075%	199018	38.16%	292	91.25%
去	71		5	1478	0.2247%	200496	36.01%	291	90.94%
們	24		10	2942	0.4472%	203438	21.72%	289	90.31%
意	75		13	1441	0.2191%	204879	36.89%	289	90.31%
發	83		12	1363	0.2072%	206242	38.58%	289	90.31%
家	42		10	2055	0.3124%	208297	28.24%	288	90.00%
實	80		14	1387	0.2109%	209684	37.96%	288	90.00%
因	66		6	1518	0.2308%	211202	34.88%	287	89.69%
事	69		8	1485	0.2257%	212687	35.56%	287	89.69%
經	84		13	1361	0.2069%	214048	38.78%	286	89.38%
和	53		8	1858	0.2825%	215906	31.53%	285	89.06%
開	103		12	1186	0.1803%	217092	42.43%	285	89.06%
與	34		14	2362	0.3591%	219454	25.62%	284	88.75%
只	94		5	1244	0.1891%	220698	40.76%	284	88.75%
已	106		3	1176	0.1788%	221874	42.97%	284	88.75%
日	78		4	1402	0.2131%	223276	37.53%	282	88.13%
同	101		6	1214	0.1846%	224490	42.07%	282	88.13%
分	87		4	1328	0.2019%	225818	39.40%	281	87.81%
最	96		12	1236	0.1879%	227054	41.14%	281	87.81%
此	67		6	1508	0.2292%	228562	35.11%	280	87.50%
方	76		4	1416	0.2153%	229978	37.11%	279	87.19%
面	108		9	1163	0.1768%	231141	43.32%	279	87.19%
著	45		12	2034	0.3092%	233175	29.18%	278	86.88%
起	93		10	1248	0.1897%	234423	40.57%	278	86.88%
想	82		13	1364	0.2074%	235787	38.37%	277	86.56%
間	111		12	1120	0.1703%	236907	43.83%	277	86.56%
重	116		9	1070	0.1627%	237977	44.66%	277	86.56%
天	57		4	1738	0.2642%	239715	32.62%	276	86.25%
情	60		11	1708	0.2596%	241423	33.40%	276	86.25%
種	72		14	1467	0.223%	242890	36.23%	276	86.25%
行	74		6	1443	0.2194%	244333	36.67%	276	86.25%
外	98		5	1226	0.1864%	245559	41.51%	275	85.94%
十	56		2	1799	0.2735%	247358	32.36%	274	85.63%
其	73		8	1450	0.2204%	248808	36.45%	274	85.63%
