單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
的	1		8	30617	4.624%	30617	4.624%	327	99.99%
一	2		1	10915	1.648%	41532	6.272%	324	99.08%
是	3		9	8823	1.333%	50355	7.605%	299	91.44%
了	4		2	8252	1.246%	58607	8.851%	323	98.78%
在	5		6	7297	1.102%	65904	9.953%	327	99.99%
不	6		4	6405	0.9673%	72309	10.92%	291	88.99%
人	7		2	5612	0.8476%	77921	11.77%	312	95.41%
這	8		10	5510	0.8322%	83431	12.60%	307	93.88%
有	9		6	5343	0.8069%	88774	13.41%	310	94.80%
我	10		7	5271	0.7961%	94045	14.20%	229	70.03%
們	11		10	4813	0.7269%	98858	14.93%	285	87.16%
大	12		3	4627	0.6988%	103485	15.63%	312	95.41%
和	13		8	4445	0.6713%	107930	16.30%	319	97.55%
上	14		3	4182	0.6316%	112112	16.93%	299	91.44%
地	15		6	4054	0.6123%	116166	17.54%	295	90.21%
來	16		8	4012	0.6059%	120178	18.15%	284	86.85%
個	17		10	3996	0.6035%	124174	18.75%	289	88.38%
中	18		4	3760	0.5679%	127934	19.32%	306	93.58%
他	19		5	3480	0.5256%	131414	19.85%	275	84.10%
國	20		11	3470	0.5241%	134884	20.37%	272	83.18%
到	21		8	3280	0.4954%	138164	20.87%	294	89.91%
主	22		5	3272	0.4942%	141436	21.36%	263	80.43%
就	23		12	2932	0.4428%	144368	21.80%	256	78.29%
要	24		9	2914	0.4401%	147282	22.24%	265	81.04%
為	25		9	2825	0.4267%	150107	22.67%	293	89.60%
著	26		12	2809	0.4242%	152916	23.09%	210	64.22%
年	27		6	2794	0.422%	155710	23.52%	261	79.82%
作	28		7	2599	0.3925%	158309	23.91%	254	77.68%
以	29		5	2550	0.3851%	160859	24.29%	295	90.21%
時	30		10	2542	0.3839%	163401	24.68%	293	89.60%
說	31		14	2468	0.3727%	165869	25.05%	241	73.70%
子	32		3	2420	0.3655%	168289	25.42%	218	66.67%
會	33		13	2408	0.3637%	170697	25.78%	273	83.49%
出	34		5	2366	0.3573%	173063	26.14%	289	88.38%
生	35		5	2358	0.3561%	175421	26.49%	265	81.04%
產	36		11	2347	0.3545%	177768	26.85%	212	64.83%
工	37		3	2238	0.338%	180006	27.19%	234	71.56%
學	38		16	2236	0.3377%	182242	27.52%	192	58.72%
動	39		11	2187	0.3303%	184429	27.85%	267	81.65%
下	40		3	2181	0.3294%	186610	28.18%	268	81.96%
也	41		3	2179	0.3291%	188789	28.51%	262	80.12%
義	42		13	2107	0.3182%	190896	28.83%	211	64.53%
得	43		11	2092	0.3159%	192988	29.15%	261	79.82%
十	44		2	2091	0.3158%	195079	29.46%	257	78.59%
民	45		5	2024	0.3057%	197103	29.77%	226	69.11%
裏	46		13	2003	0.3025%	199106	30.07%	196	59.94%
對	47		14	1983	0.2995%	201089	30.37%	279	85.32%
過	48		12	1981	0.2992%	203070	30.67%	259	79.20%
多	49		6	1933	0.2919%	205003	30.96%	277	84.71%
同	50		6	1928	0.2912%	206931	31.25%	283	86.54%
命	51		8	1839	0.2777%	208770	31.53%	178	54.43%
能	52		10	1829	0.2762%	210599	31.81%	229	70.03%
用	53		5	1827	0.2759%	212426	32.08%	248	75.84%
家	54		10	1784	0.2694%	214210	32.35%	240	73.39%
發	55		12	1783	0.2693%	215993	32.62%	264	80.73%
成	56		6	1757	0.2654%	217750	32.89%	262	80.12%
革	57		9	1724	0.2604%	219474	33.15%	140	42.81%
行	58		6	1719	0.2596%	221193	33.41%	283	86.54%
那	59		6	1693	0.2557%	222886	33.66%	198	60.55%
好	60		6	1689	0.2551%	224575	33.92%	231	70.64%
於	61		8	1664	0.2513%	226239	34.17%	261	79.82%
去	62		5	1662	0.251%	227901	34.42%	228	69.72%
想	63		13	1657	0.2503%	229558	34.67%	187	57.19%
面	64		9	1645	0.2484%	231203	34.92%	243	74.31%
起	65		10	1644	0.2483%	232847	35.17%	234	71.56%
可	66		5	1632	0.2465%	234479	35.41%	228	69.72%
自	67		6	1632	0.2465%	236111	35.66%	237	72.48%
方	68		4	1612	0.2435%	237723	35.90%	237	72.48%
而	69		6	1608	0.2429%	239331	36.15%	236	72.17%
天	70		4	1579	0.2385%	240910	36.38%	239	73.09%
種	71		14	1574	0.2377%	242484	36.62%	227	69.42%
都	72		9	1573	0.2376%	244057	36.86%	251	76.76%
把	73		7	1560	0.2356%	245617	37.09%	224	68.50%
經	74		13	1552	0.2344%	247169	37.33%	252	77.06%
進	75		11	1546	0.2335%	248715	37.56%	282	86.24%
水	76		4	1535	0.2318%	250250	37.79%	181	55.35%
現	77		11	1517	0.2291%	251767	38.02%	229	70.03%
級	78		10	1505	0.2273%	253272	38.25%	133	40.67%
分	79		4	1475	0.2228%	254747	38.47%	250	76.45%
還	80		16	1461	0.2207%	256208	38.69%	255	77.98%
看	81		9	1453	0.2194%	257661	38.91%	179	54.74%
小	82		3	1439	0.2173%	259100	39.13%	199	60.86%
三	83		3	1433	0.2164%	260533	39.35%	245	74.92%
從	84		11	1432	0.2163%	261965	39.56%	232	70.95%
樣	85		15	1428	0.2157%	263393	39.78%	208	63.61%
階	86		11	1422	0.2148%	264815	39.99%	127	38.84%
部	87		10	1376	0.2078%	266191	40.20%	243	74.31%
後	88		9	1365	0.2062%	267556	40.41%	266	81.35%
社	89		7	1351	0.204%	268907	40.61%	166	50.76%
正	90		5	1350	0.2039%	270257	40.82%	236	72.17%
前	91		9	1335	0.2016%	271592	41.02%	255	77.98%
思	92		9	1335	0.2016%	272927	41.22%	174	53.21%
無	93		12	1333	0.2013%	274260	41.42%	213	65.14%
本	94		5	1324	0.200%	275584	41.62%	209	63.91%
高	95		10	1315	0.1986%	276899	41.82%	254	77.68%
然	96		12	1314	0.1984%	278213	42.02%	204	62.39%
文	97		4	1313	0.1983%	279526	42.22%	154	47.09%
理	98		11	1306	0.1972%	280832	42.41%	203	62.08%
山	99		3	1287	0.1944%	282119	42.61%	143	43.73%
實	100		14	1281	0.1935%	283400	42.80%	207	63.30%
些	101		8	1278	0.193%	284678	42.99%	234	71.56%
當	102		13	1266	0.1912%	285944	43.19%	232	70.95%
開	103		12	1257	0.1898%	287201	43.38%	236	72.17%
麼	104		14	1255	0.1895%	288456	43.56%	170	51.99%
日	105		4	1245	0.188%	289701	43.75%	218	66.67%
老	106		6	1233	0.1862%	290934	43.94%	156	47.71%
全	107		6	1230	0.1858%	292164	44.12%	253	77.37%
長	108		8	1226	0.1852%	293390	44.31%	241	73.70%
又	109		2	1214	0.1833%	294604	44.49%	215	65.75%
反	110		4	1213	0.1832%	295817	44.68%	203	62.08%
它	111		5	1180	0.1782%	296997	44.85%	202	61.77%
所	112		8	1178	0.1779%	298175	45.03%	223	68.20%
二	113		2	1172	0.177%	299347	45.21%	233	71.25%
事	114		8	1167	0.1762%	300514	45.39%	215	65.75%
之	115		4	1163	0.1756%	301677	45.56%	233	71.25%
鬥	116		10	1158	0.1749%	302835	45.74%	167	51.07%
道	117		12	1155	0.1744%	303990	45.91%	208	63.61%
爭	118		8	1148	0.1734%	305138	46.08%	190	58.10%
力	119		2	1140	0.1722%	306278	46.26%	231	70.64%
美	120		9	1122	0.1695%	307400	46.43%	152	46.48%
政	121		9	1105	0.1669%	308505	46.59%	152	46.48%
毛	122		4	1098	0.1658%	309603	46.76%	139	42.51%
代	123		5	1093	0.1651%	310696	46.92%	189	57.80%
頭	124		16	1090	0.1646%	311786	47.09%	167	51.07%
新	125		13	1081	0.1633%	312867	47.25%	235	71.87%
沒	126		7	1065	0.1608%	313932	47.41%	197	60.24%
農	127		13	1064	0.1607%	314996	47.57%	131	40.06%
你	128		7	1062	0.1604%	316058	47.73%	106	32.42%
心	129		4	1053	0.159%	317111	47.89%	202	61.77%
手	130		4	1045	0.1578%	318156	48.05%	185	56.57%
兩	131		8	1028	0.1553%	319184	48.21%	241	73.70%
黨	132		20	1025	0.1548%	320209	48.36%	141	43.12%
法	133		8	1015	0.1533%	321224	48.51%	183	55.96%
加	134		5	1012	0.1528%	322236	48.67%	250	76.45%
重	135		9	1003	0.1515%	323239	48.82%	224	68.50%
隊	136		11	1002	0.1513%	324241	48.97%	157	48.01%
