六十年代大陸字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
的	1		8	30617	4.624%	30617	4.624%	327	99.99%
在	5		6	7297	1.102%	37914	9.953%	327	99.99%
一	2		1	10915	1.648%	48829	6.272%	324	99.08%
了	4		2	8252	1.246%	57081	8.851%	323	98.78%
和	13		8	4445	0.6713%	61526	16.30%	319	97.55%
人	7		2	5612	0.8476%	67138	11.77%	312	95.41%
大	12		3	4627	0.6988%	71765	15.63%	312	95.41%
有	9		6	5343	0.8069%	77108	13.41%	310	94.80%
這	8		10	5510	0.8322%	82618	12.60%	307	93.88%
中	18		4	3760	0.5679%	86378	19.32%	306	93.58%
是	3		9	8823	1.333%	95201	7.605%	299	91.44%
上	14		3	4182	0.6316%	99383	16.93%	299	91.44%
地	15		6	4054	0.6123%	103437	17.54%	295	90.21%
以	29		5	2550	0.3851%	105987	24.29%	295	90.21%
到	21		8	3280	0.4954%	109267	20.87%	294	89.91%
為	25		9	2825	0.4267%	112092	22.67%	293	89.60%
時	30		10	2542	0.3839%	114634	24.68%	293	89.60%
不	6		4	6405	0.9673%	121039	10.92%	291	88.99%
個	17		10	3996	0.6035%	125035	18.75%	289	88.38%
出	34		5	2366	0.3573%	127401	26.14%	289	88.38%
們	11		10	4813	0.7269%	132214	14.93%	285	87.16%
來	16		8	4012	0.6059%	136226	18.15%	284	86.85%
同	50		6	1928	0.2912%	138154	31.25%	283	86.54%
行	58		6	1719	0.2596%	139873	33.41%	283	86.54%
進	75		11	1546	0.2335%	141419	37.56%	282	86.24%
對	47		14	1983	0.2995%	143402	30.37%	279	85.32%
多	49		6	1933	0.2919%	145335	30.96%	277	84.71%
他	19		5	3480	0.5256%	148815	19.85%	275	84.10%
會	33		13	2408	0.3637%	151223	25.78%	273	83.49%
國	20		11	3470	0.5241%	154693	20.37%	272	83.18%
下	40		3	2181	0.3294%	156874	28.18%	268	81.96%
動	39		11	2187	0.3303%	159061	27.85%	267	81.65%
後	88		9	1365	0.2062%	160426	40.41%	266	81.35%
要	24		9	2914	0.4401%	163340	22.24%	265	81.04%
生	35		5	2358	0.3561%	165698	26.49%	265	81.04%
發	55		12	1783	0.2693%	167481	32.62%	264	80.73%
主	22		5	3272	0.4942%	170753	21.36%	263	80.43%
也	41		3	2179	0.3291%	172932	28.51%	262	80.12%
成	56		6	1757	0.2654%	174689	32.89%	262	80.12%
年	27		6	2794	0.422%	177483	23.52%	261	79.82%
得	43		11	2092	0.3159%	179575	29.15%	261	79.82%
於	61		8	1664	0.2513%	181239	34.17%	261	79.82%
過	48		12	1981	0.2992%	183220	30.67%	259	79.20%
十	44		2	2091	0.3158%	185311	29.46%	257	78.59%
就	23		12	2932	0.4428%	188243	21.80%	256	78.29%
還	80		16	1461	0.2207%	189704	38.69%	255	77.98%
前	91		9	1335	0.2016%	191039	41.02%	255	77.98%
作	28		7	2599	0.3925%	193638	23.91%	254	77.68%
高	95		10	1315	0.1986%	194953	41.82%	254	77.68%
全	107		6	1230	0.1858%	196183	44.12%	253	77.37%
經	74		13	1552	0.2344%	197735	37.33%	252	77.06%
使	145		8	953	0.1439%	198688	50.29%	252	77.06%
都	72		9	1573	0.2376%	200261	36.86%	251	76.76%
分	79		4	1475	0.2228%	201736	38.47%	250	76.45%
加	134		5	1012	0.1528%	202748	48.67%	250	76.45%
最	138		12	991	0.1497%	203739	49.27%	250	76.45%
用	53		5	1827	0.2759%	205566	32.08%	248	75.84%
三	83		3	1433	0.2164%	206999	39.35%	245	74.92%
面	64		9	1645	0.2484%	208644	34.92%	243	74.31%
部	87		10	1376	0.2078%	210020	40.20%	243	74.31%
說	31		14	2468	0.3727%	212488	25.05%	241	73.70%
長	108		8	1226	0.1852%	213714	44.31%	241	73.70%
兩	131		8	1028	0.1553%	214742	48.21%	241	73.70%
家	54		10	1784	0.2694%	216526	32.35%	240	73.39%
天	70		4	1579	0.2385%	218105	36.38%	239	73.09%
自	67		6	1632	0.2465%	219737	35.66%	237	72.48%
方	68		4	1612	0.2435%	221349	35.90%	237	72.48%
而	69		6	1608	0.2429%	222957	36.15%	236	72.17%
正	90		5	1350	0.2039%	224307	40.82%	236	72.17%
開	103		12	1257	0.1898%	225564	43.38%	236	72.17%
新	125		13	1081	0.1633%	226645	47.25%	235	71.87%
工	37		3	2238	0.338%	228883	27.19%	234	71.56%
起	65		10	1644	0.2483%	230527	35.17%	234	71.56%
些	101		8	1278	0.193%	231805	42.99%	234	71.56%
二	113		2	1172	0.177%	232977	45.21%	233	71.25%
之	115		4	1163	0.1756%	234140	45.56%	233	71.25%
從	84		11	1432	0.2163%	235572	39.56%	232	70.95%
當	102		13	1266	0.1912%	236838	43.19%	232	70.95%
好	60		6	1689	0.2551%	238527	33.92%	231	70.64%
力	119		2	1140	0.1722%	239667	46.26%	231	70.64%
我	10		7	5271	0.7961%	244938	14.20%	229	70.03%
能	52		10	1829	0.2762%	246767	31.81%	229	70.03%
現	77		11	1517	0.2291%	248284	38.02%	229	70.03%
去	62		5	1662	0.251%	249946	34.42%	228	69.72%
可	66		5	1632	0.2465%	251578	35.41%	228	69.72%
五	144		4	953	0.1439%	252531	50.15%	228	69.72%
種	71		14	1574	0.2377%	254105	36.62%	227	69.42%
等	169		12	864	0.1305%	254969	53.56%	227	69.42%
民	45		5	2024	0.3057%	256993	29.77%	226	69.11%
把	73		7	1560	0.2356%	258553	37.09%	224	68.50%
重	135		9	1003	0.1515%	259556	48.82%	224	68.50%
所	112		8	1178	0.1779%	260734	45.03%	223	68.20%
間	168		12	874	0.132%	261608	53.43%	223	68.20%
子	32		3	2420	0.3655%	264028	25.42%	218	66.67%
日	105		4	1245	0.188%	265273	43.75%	218	66.67%
並	233		8	622	0.09394%	265895	60.56%	216	66.06%
又	109		2	1214	0.1833%	267109	44.49%	215	65.75%
事	114		8	1167	0.1762%	268276	45.39%	215	65.75%
無	93		12	1333	0.2013%	269609	41.42%	213	65.14%
定	143		8	954	0.1441%	270563	50.01%	213	65.14%
單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
產	36		11	2347	0.3545%	272910	26.85%	212	64.83%
義	42		13	2107	0.3182%	275017	28.83%	211	64.53%
著	26		12	2809	0.4242%	277826	23.09%	210	64.22%
其	190		8	757	0.1143%	278583	56.11%	210	64.22%
本	94		5	1324	0.200%	279907	41.62%	209	63.91%
意	150		13	930	0.1405%	280837	51.01%	209	63.91%
向	185		6	788	0.119%	281625	55.53%	209	63.91%
樣	85		15	1428	0.2157%	283053	39.78%	208	63.61%
道	117		12	1155	0.1744%	284208	45.91%	208	63.61%
實	100		14	1281	0.1935%	285489	42.80%	207	63.30%
