單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
的	1		8	29327	4.425%	29327	4.425%	247	99.99%
一	2		1	10466	1.579%	39793	6.005%	247	99.99%
是	3		9	8724	1.316%	48517	7.321%	247	99.99%
了	4		2	7621	1.150%	56138	8.471%	247	99.99%
不	5		4	7074	1.067%	63212	9.539%	247	99.99%
在	6		6	6654	1.004%	69866	10.54%	247	99.99%
有	7		6	5945	0.8971%	75811	11.44%	247	99.99%
和	12		8	4101	0.6188%	79912	15.24%	247	99.99%
上	13		3	3971	0.5992%	83883	15.84%	247	99.99%
大	14		3	3754	0.5665%	87637	16.41%	247	99.99%
個	15		10	3734	0.5635%	91371	16.97%	247	99.99%
來	18		8	3425	0.5168%	94796	18.60%	247	99.99%
以	30		5	2548	0.3845%	97344	23.76%	247	99.99%
過	48		12	1955	0.295%	99299	29.66%	247	99.99%
人	8		2	5912	0.8921%	105211	12.33%	246	99.60%
這	11		10	4613	0.6961%	109824	14.62%	246	99.60%
地	17		6	3697	0.5579%	113521	18.09%	246	99.60%
為	19		9	3335	0.5032%	116856	19.11%	246	99.60%
到	23		8	2886	0.4355%	119742	20.92%	246	99.60%
要	27		9	2687	0.4055%	122429	22.58%	246	99.60%
出	28		5	2645	0.3991%	125074	22.98%	246	99.60%
得	44		11	2014	0.3039%	127088	28.46%	246	99.60%
下	49		3	1930	0.2912%	129018	29.95%	246	99.60%
時	26		10	2690	0.4059%	131708	22.17%	245	99.19%
對	37		14	2248	0.3392%	133956	26.22%	245	99.19%
多	51		6	1855	0.2799%	135811	30.52%	245	99.19%
中	16		4	3704	0.5589%	139515	17.53%	244	98.79%
生	24		5	2861	0.4317%	142376	21.35%	244	98.79%
自	40		6	2170	0.3274%	144546	27.21%	244	98.79%
會	29		13	2614	0.3944%	147160	23.37%	243	98.38%
也	32		3	2379	0.359%	149539	24.49%	243	98.38%
可	54		5	1800	0.2716%	151339	31.34%	243	98.38%
從	81		11	1412	0.2131%	152751	37.66%	243	98.38%
們	21		10	3083	0.4652%	155834	20.04%	242	97.98%
現	52		11	1854	0.2798%	157688	30.79%	242	97.98%
後	57		9	1709	0.2579%	159397	32.13%	242	97.98%
著	22		12	2931	0.4423%	162328	20.48%	241	97.57%
發	34		12	2308	0.3483%	164636	25.19%	241	97.57%
就	36		12	2259	0.3409%	166895	25.88%	241	97.57%
之	56		4	1713	0.2585%	168608	31.87%	241	97.57%
還	72		16	1502	0.2266%	170110	35.68%	241	97.57%
我	9		7	5855	0.8835%	175965	13.22%	240	97.17%
而	45		6	2014	0.3039%	177979	28.76%	240	97.17%
能	46		10	1994	0.3009%	179973	29.07%	240	97.17%
都	69		9	1531	0.231%	181504	34.99%	240	97.17%
面	83		9	1389	0.2096%	182893	38.09%	240	97.17%
成	50		6	1879	0.2835%	184772	30.24%	239	96.76%
起	64		10	1561	0.2356%	186333	33.82%	239	96.76%
前	102		9	1202	0.1814%	187535	41.71%	239	96.76%
年	25		6	2783	0.4199%	190318	21.77%	238	96.36%
種	61		14	1590	0.2399%	191908	33.11%	238	96.36%
又	89		2	1280	0.1931%	193188	39.30%	238	96.36%
家	39		10	2178	0.3287%	195366	26.89%	237	95.95%
於	47		8	1988	0.300%	197354	29.37%	237	95.95%
然	66		12	1549	0.2337%	198903	34.29%	237	95.95%
經	43		13	2054	0.3099%	200957	28.16%	236	95.55%
動	65		11	1560	0.2354%	202517	34.06%	235	95.14%
開	75		12	1486	0.2242%	204003	36.35%	235	95.14%
進	78		11	1476	0.2227%	205479	37.02%	235	95.14%
些	105		8	1196	0.1805%	206675	42.25%	235	95.14%
點	131		17	1009	0.1523%	207684	46.54%	235	95.14%
說	31		14	2479	0.3741%	210163	24.13%	234	94.74%
行	53		6	1812	0.2734%	211975	31.07%	234	94.74%
用	63		5	1574	0.2375%	213549	33.59%	234	94.74%
當	94		13	1231	0.1858%	214780	40.24%	234	94.74%
作	33		7	2347	0.3542%	217127	24.85%	233	94.33%
同	70		6	1528	0.2306%	218655	35.22%	233	94.33%
分	73		4	1501	0.2265%	220156	35.90%	232	93.93%
正	145		5	930	0.1403%	221086	48.58%	232	93.93%
方	59		4	1677	0.2531%	222763	32.63%	231	93.52%
好	87		6	1344	0.2028%	224107	38.90%	231	93.52%
樣	107		15	1183	0.1785%	225290	42.61%	230	93.12%
如	110		6	1165	0.1758%	226455	43.14%	230	93.12%
他	10		5	4718	0.7119%	231173	13.93%	229	92.71%
心	71		4	1518	0.2291%	232691	35.45%	229	92.71%
高	96		10	1225	0.1848%	233916	40.61%	229	92.71%
所	99		8	1216	0.1835%	235132	41.16%	228	92.31%
無	130		12	1012	0.1527%	236144	46.38%	228	92.31%
明	141		8	951	0.1435%	237095	48.01%	228	92.31%
實	68		14	1540	0.2324%	238635	34.76%	227	91.90%
三	128		3	1018	0.1536%	239653	46.08%	226	91.50%
把	92		7	1236	0.1865%	240889	39.87%	225	91.09%
長	95		8	1230	0.1856%	242119	40.42%	225	91.09%
外	101		5	1206	0.182%	243325	41.52%	225	91.09%
間	147		12	922	0.1391%	244247	48.86%	225	91.09%
重	112		9	1150	0.1735%	245397	43.48%	224	90.69%
兩	132		8	1002	0.1512%	246399	46.69%	224	90.69%
子	38		3	2225	0.3357%	248624	26.56%	223	90.28%
去	62		5	1578	0.2381%	250202	33.35%	223	90.28%
小	55		3	1783	0.2691%	251985	31.61%	222	89.88%
定	106		8	1188	0.1793%	253173	42.43%	222	89.88%
使	135		8	992	0.1497%	254165	47.14%	222	89.88%
最	168		12	805	0.1215%	254970	51.54%	222	89.88%
