單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
的	1		8	29274	4.422%	29274	4.422%	467	97.70%
一	2		1	11235	1.697%	40509	6.119%	460	96.23%
是	3		9	9579	1.447%	50088	7.566%	441	92.26%
不	4		4	7637	1.154%	57725	8.719%	451	94.35%
有	5		6	7203	1.088%	64928	9.807%	447	93.51%
在	6		6	7026	1.061%	71954	10.87%	457	95.61%
人	7		2	6537	0.9874%	78491	11.86%	446	93.31%
我	8		7	6460	0.9758%	84951	12.83%	371	77.62%
了	9		2	6006	0.9072%	90957	13.74%	427	89.33%
這	10		10	4593	0.6938%	95550	14.43%	398	83.26%
之	11		4	4332	0.6543%	99882	15.09%	386	80.75%
大	12		3	3973	0.6001%	103855	15.69%	423	88.49%
為	13		9	3941	0.5953%	107796	16.28%	427	89.33%
以	14		5	3733	0.5639%	111529	16.85%	398	83.26%
上	15		3	3714	0.561%	115243	17.41%	430	89.96%
中	16		4	3663	0.5533%	118906	17.96%	421	88.08%
來	17		8	3462	0.5229%	122368	18.48%	421	88.08%
們	18		10	3430	0.5181%	125798	19.00%	382	79.92%
會	19		13	3364	0.5081%	129162	19.51%	398	83.26%
個	20		10	3350	0.506%	132512	20.02%	391	81.80%
地	21		6	3246	0.4903%	135758	20.51%	422	88.28%
時	22		10	3130	0.4728%	138888	20.98%	409	85.56%
年	23		6	3078	0.4649%	141966	21.44%	372	77.82%
他	24		5	3054	0.4613%	145020	21.90%	359	75.10%
到	25		8	3045	0.4599%	148065	22.36%	405	84.73%
而	26		6	2975	0.4494%	151040	22.81%	403	84.31%
國	27		11	2877	0.4346%	153917	23.25%	242	50.63%
生	28		5	2863	0.4324%	156780	23.68%	399	83.47%
可	29		5	2754	0.416%	159534	24.10%	404	84.52%
也	30		3	2486	0.3755%	162020	24.47%	366	76.57%
於	31		8	2431	0.3672%	164451	24.84%	390	81.59%
要	32		9	2408	0.3637%	166859	25.20%	389	81.38%
那	33		6	2377	0.359%	169236	25.56%	344	71.97%
多	34		6	2260	0.3414%	171496	25.90%	401	83.89%
和	35		8	2253	0.3403%	173749	26.24%	339	70.92%
得	36		11	2211	0.334%	175960	26.58%	395	82.64%
能	37		10	2210	0.3338%	178170	26.91%	368	76.99%
出	38		5	2145	0.324%	180315	27.24%	401	83.89%
所	39		8	2132	0.322%	182447	27.56%	362	75.73%
