單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
一	2		1	11165	1.683%	11165	5.363%	411	99.99%
有	6		6	7311	1.102%	18476	10.40%	411	99.99%
的	1		8	24414	3.680%	42890	3.680%	410	99.76%
不	4		4	9190	1.385%	52080	8.150%	410	99.76%
在	7		6	6186	0.9324%	58266	11.33%	409	99.51%
是	3		9	9301	1.402%	67567	6.765%	407	99.03%
以	19		5	3414	0.5146%	70981	18.46%	406	98.78%
大	11		3	4027	0.607%	75008	14.07%	402	97.81%
為	16		9	3642	0.5489%	78650	16.88%	402	97.81%
人	5		2	7622	1.149%	86272	9.298%	400	97.32%
中	10		4	4114	0.6201%	90386	13.46%	400	97.32%
上	17		3	3527	0.5316%	93913	17.42%	400	97.32%
可	22		5	3037	0.4577%	96950	19.87%	400	97.32%
出	24		5	2727	0.411%	99677	20.72%	399	97.08%
個	12		10	3833	0.5777%	103510	14.64%	397	96.59%
而	30		6	2514	0.3789%	106024	23.10%	397	96.59%
會	14		13	3750	0.5652%	109774	15.78%	395	96.11%
時	20		10	3254	0.4905%	113028	18.95%	395	96.11%
來	18		8	3516	0.5299%	116544	17.95%	394	95.86%
多	35		6	2336	0.3521%	118880	24.90%	387	94.16%
這	13		10	3781	0.5699%	122661	15.21%	385	93.67%
過	32		12	2421	0.3649%	125082	23.84%	383	93.19%
於	51		8	1841	0.2775%	126923	29.86%	383	93.19%
要	23		9	2950	0.4446%	129873	20.31%	382	92.94%
但	59		7	1769	0.2666%	131642	32.05%	381	92.70%
年	28		6	2654	0.400%	134296	22.34%	380	92.46%
了	8		2	5037	0.7592%	139333	12.09%	379	92.21%
他	15		5	3688	0.5559%	143021	16.34%	378	91.97%
到	25		8	2704	0.4076%	145725	21.13%	377	91.73%
能	44		10	2008	0.3027%	147733	27.84%	377	91.73%
後	45		9	1989	0.2998%	149722	28.14%	376	91.48%
之	27		4	2654	0.400%	152376	21.94%	374	91.00%
對	36		14	2310	0.3482%	154686	25.25%	374	91.00%
成	56		6	1821	0.2745%	156507	31.24%	371	90.27%
然	43		12	2050	0.309%	158557	27.54%	370	90.02%
得	29		11	2575	0.3881%	161132	22.73%	367	89.29%
下	42		3	2094	0.3156%	163226	27.23%	367	89.29%
如	58		6	1787	0.2693%	165013	31.78%	366	89.05%
所	69		8	1511	0.2277%	166524	34.49%	366	89.05%
其	78		8	1438	0.2167%	167962	36.48%	365	88.81%
作	39		7	2202	0.3319%	170164	26.26%	363	88.32%
發	75		12	1469	0.2214%	171633	35.83%	362	88.08%
現	86		11	1390	0.2095%	173023	38.19%	361	87.83%
因	87		6	1379	0.2078%	174402	38.40%	360	87.59%
