# https://github.com/chinese-poetry/chinese-poetry
# 御定全唐詩、宋词、全唐诗、元曲：title+paragraphs统计（限制Unicde中文字符）
# 
# char	count

不	238892
一	219582
人	192120
山	153135
有	132923
無	131384
其	127928
日	121685
風	118011
天	107993
中	106958
二	101896
何	97853
三	97818
來	96152
春	94963
花	93287
上	89417
生	88705
月	87408
首	86830
自	86130
如	85602
年	84101
雲	82192
時	80104
水	78233
十	78173
相	77488
我	75129
知	75104
詩	74510
得	73939
子	73631
此	73410
爲	71319
君	68745
心	68463
見	68175
清	67755
行	66943
歸	65884
未	65560
江	65121
事	64869
是	64414
秋	63072
作	60990
雨	60023
老	60013
今	59734
下	59487
明	59366
長	59259
之	59151
去	58967
白	57280
夜	56730
道	56511
在	53897
南	53747
可	53718
高	53514
千	53001
空	52618
家	52064
與	51672
四	51491
寒	51445
書	50944
玉	50051
前	49812
五	49337
已	48484
金	47772
成	47554
酒	47528
公	47338
萬	47047
新	46808
青	46609
和	46289
客	46199
古	45665
西	45320
出	45042
多	44389
門	43784
同	43342
東	43194
更	43118
處	43109
欲	42331
落	41881
大	41491
誰	40556
流	39878
地	39695
送	39380
深	39223
朝	39148
聲	39135
香	39114
雪	38929
入	38641
看	38563
石	38155
百	37862
重	37386
平	37055
林	36907
能	36758
寄	36636
世	36211
城	36112
意	36055
以	35833
里	35702
從	35667
開	35647
然	35573
光	35529
小	35524
歌	35523
名	35497
飛	35288
身	35238
亦	35135
方	35128
思	34891
頭	34401
草	34369
路	33914
似	33497
安	33354
間	33287
九	33197
言	32838
過	32695
遠	32564
到	32172
分	32009
聞	31923
盡	31852
色	31830
文	31811
海	31790
陽	31739
王	31679
望	31605
當	31582
還	31498
應	31486
六	31113
非	31103
後	31009
情	30947
莫	30916
正	30868
將	30731
州	30133
馬	30095
句	29665
題	29486
獨	29416
遊	29245
真	29139
猶	29123
好	29111
仙	29100
塵	28998
復	28754
外	28606
所	28604
初	28500
舊	28245
愁	28224
黄	28190
衣	28182
笑	28125
醉	28097
龍	28086
氣	28032
竹	27847
晚	27712
難	27664
回	27644
向	27591
故	27564
居	27523
起	27497
云	27295
別	27021
少	26923
夢	26854
神	26669
坐	26346
先	26310
溪	26095
滿	25792
次	25748
韻	25730
華	25660
梅	25597
樂	25560
懷	25489
留	25469
歲	25392
湖	25310
北	25229
物	25106
須	25102
幾	25091
堂	25044
絕	25017
樹	24622
吾	24473
八	24372
紅	24030
又	23936
松	23871
餘	23842
吟	23567
兩	23101
幽	23068
太	23033
亭	22968
樓	22967
豈	22858
者	22822
官	22788
問	22613
半	22584
士	22577
元	22438
若	22316
用	22311
眼	21980
野	21926
因	21732
枝	21725
柳	21696
七	21632
使	21537
霜	21482
陰	21471
語	21410
曾	21400
孤	21293
隨	21204
國	21119
至	21110
喜	21053
