# https://forum.freemdict.com/t/topic/3748/
# 文淵閣四庫全書(正體無標點版).7z：Unicode汉字统计
# 
# char	count

之	17579806
不	8550235
以	8405344
也	6851277
而	6817082
為	6281125
其	6051172
人	5962738
有	5462769
者	4938196
一	4699599
曰	4541008
子	4061358
於	3815452
十	3681729
大	3188079
丨	3140195
所	3125532
二	3057818
三	2970574
年	2808987
中	2805943
無	2770324
則	2743235
下	2618412
天	2593151
上	2560917
此	2500075
王	2431824
書	2321986
是	2302034
事	2233850
公	2230860
自	2177193
可	2134195
在	2107802
五	2084800
言	2079742
至	2064946
如	2060754
四	2059415
日	2056871
故	1998099
山	1971491
與	1939688
文	1937052
得	1931606
時	1916560
又	1904653
行	1850006
月	1787502
州	1770394
知	1766949
後	1735727
南	1676553
生	1633906
見	1616461
道	1570042
謂	1544397
亦	1526822
明	1484533
相	1467340
然	1464938
君	1459716
水	1456385
東	1454261
皆	1451917
國	1447332
今	1441516
臣	1420507
出	1420323
使	1415844
名	1412465
于	1410846
百	1409798
詩	1409470
未	1396149
作	1392128
官	1380455
太	1376884
用	1373709
六	1370953
何	1368283
矣	1365100
正	1343923
西	1336800
能	1319611
夫	1265893
地	1234390
縣	1223445
元	1210832
云	1204114
同	1193763
成	1193286
士	1190282
陽	1185962
方	1180719
氏	1169226
非	1165773
心	1165226
入	1142072
及	1137799
長	1132485
安	1121844
已	1121712
禮	1111794
當	1106366
諸	1093946
帝	1085532
九	1076636
先	1075724
風	1064868
若	1059861
軍	1054569
乃	1052325
將	1048585
傳	1045225
平	1016536
世	1011907
北	1009755
民	1005831
城	1001312
分	1000794
史	1000612
從	995150
萬	995042
復	988255
八	984345
前	977918
家	977285
七	974922
來	974452
本	951632
里	938448
兵	932659
學	932636
字	928763
朝	926782
門	921793
古	920905
去	915498
必	909963
乎	907953
多	905861
小	905488
令	904387
江	898721
經	876475
義	873150
數	864350
武	861751
即	860399
外	860383
春	857006
石	855979
千	854949
等	854044
宗	853580
白	853570
馬	848137
欲	844410
司	841134
歸	839832
師	831005
周	828708
漢	826411
主	825403
命	814844
金	812373
内	808603
居	798960
河	792409
志	791807
或	788557
兩	780592
治	770502
我	764724
初	763667
法	759659
通	755057
黄	752989
重	748182
立	745416
聞	743732
氣	737348
物	735634
徳	732880
樂	728674
餘	723137
定	722663
意	722473
進	719490
侯	714870
處	707738
服	701049
神	700215
雲	698717
秋	694252
府	690354
間	687532
髙	685657
清	683250
常	671749
因	670329
守	670126
雖	661422
聖	659128
李	655504
都	651695
實	650374
和	649666
張	644657
取	644024
過	639205
焉	638136
食	638026
皇	635575
尚	635048
應	630116
陳	628979
各	628384
部	626116
既	625343
易	623448
始	621681
理	619531
死	619258
齊	618005
流	610357
少	604763
左	603668
惟	602928
海	600471
右	595745
遂	589885
合	589535
足	582916
善	582701
吾	579282
節	577520
宋	577136
興	572046
唐	570448
聲	568640
記	568251
功	563224
音	560615
父	557838
祖	555737
問	552949
盡	552279
光	550947
觀	549845
集	548139
舉	547722
章	541385
政	535943
論	534781
身	530540
林	529928
開	528765
思	527914
度	526910
稱	526684
宜	525560
位	524858
龍	521355
玉	520874
新	520175
制	519523
逺	519167
切	518236
反	517680
爾	516455
花	515858
郡	515574
猶	514996
起	514795
晉	514039
孫	513825
老	509865
注	508527
舊	492183
任	490167
深	489857
發	485659
建	484482
廣	483981
奏	482353
㑹	480616
請	479986
屬	478748
田	475843
親	475559
首	474234
異	473300
御	471388
甚	471079
酒	470952
語	469841
隂	468773
次	468014
難	466226
且	464872
宫	461347
利	460008
求	459718
豈	456648
終	455294
直	455208
賢	454237
衆	451550
路	450865
説	449595
凡	449374
仁	448655
色	448237
郎	448175
受	447069
望	443457
草	443355
夏	441113
女	441085
止	440825
加	439997
置	439382
劉	438174
夜	438012
卷	437766
木	434751
力	434386
莫	433428
詔	432886
青	432027
卒	430930
雨	429642
失	428176
耳	427693
奉	427617
嘗	425981
錢	425030
還	424856
京	424726
近	422592
致	421142
獨	419999
封	418998
議	415894
伯	413655
華	411248
信	410510
衣	410363
更	410055
鄭	407660
韻	406711
侍	405289
辭	403374
賦	400657
好	400540
母	400529
圖	397383
寒	397047
陵	394243
原	394065
哉	393699
化	392930
象	392381
