# https://github.com/mahavivo/scripta-sinica
# 汉语古典文本数据库（殆知阁）：Unicode汉字统计
# char	count

之	15736660
不	12699007
一	8997432
以	8256918
有	7715832
人	7513525
为	7106115
者	6229665
而	6168605
也	5903382
其	5688275
是	5207541
无	5141344
大	4784364
十	4723972
于	4564281
二	4555825
三	4468527
子	4325363
曰	4194645
中	4187273
所	4129195
如	4123327
此	3920309
上	3858242
生	3634501
得	3495682
下	3323331
道	3254000
故	3135536
天	3030428
年	3016399
行	2987382
日	2980950
自	2948155
事	2887514
云	2817127
在	2800030
可	2787918
四	2737328
时	2704003
五	2681652
知	2673463
法	2659948
王	2621455
来	2617626
至	2610111
言	2556333
心	2549036
见	2455027
何	2411024
若	2406829
则	2373672
后	2324211
出	2317968
等	2309430
又	2288079
相	2287409
名	2221516
与	2216456
明	2203796
亦	2193486
我	2163108
山	2141636
能	2060882
说	2021849
文	2001688
月	1985133
作	1944184
诸	1942224
今	1930009
公	1891294
将	1879974
方	1866711
即	1853716
地	1847276
用	1832349
书	1819243
去	1814796
未	1804589
官	1781119
然	1759903
水	1747423
州	1740724
非	1716368
前	1708343
入	1707472
分	1703801
正	1699679
本	1699016
已	1687627
六	1680221
成	1675910
太	1662222
百	1653200
世	1650251
皆	1649363
同	1640773
了	1636637
南	1630792
当	1611603
及	1600315
多	1589245
家	1572021
国	1549571
使	1521644
经	1484522
佛	1482080
门	1474179
军	1469481
令	1463160
两	1452581
谓	1441678
身	1421553
从	1414861
兵	1409210
乃	1409029
复	1397383
安	1395354
臣	1388034
小	1367717
八	1359382
处	1356091
西	1352087
先	1344993
气	1338731
里	1324675
七	1316251
因	1302021
外	1298628
东	1291356
应	1289293
各	1289269
的	1264623
金	1229228
内	1227519
夫	1225969
长	1221633
师	1217309
元	1216667
士	1212342
风	1204584
欲	1204089
或	1199121
阳	1197611
矣	1192676
善	1187186
白	1173342
清	1164446
他	1159352
九	1147317
部	1142673
意	1139242
万	1138471
千	1136018
主	1122537
起	1119208
余	1118489
治	1097002
神	1094424
学	1090148
德	1090056
切	1087352
便	1086311
字	1085719
通	1084673
君	1080765
必	1079848
平	1076214
众	1076200
城	1071360
定	1067161
数	1060909
死	1059562
命	1048851
闻	1044100
县	1032298
实	1023614
帝	1022840
过	1016406
黄	1014133
民	1004818
问	1004363
发	994732
第	987492
常	983996
都	981651
马	969296
江	959222
真	956784
合	955272
义	943535
初	939690
并	938114
重	937506
高	935651
卷	933738
进	932309
司	929474
受	929170
和	920636
石	918385
老	916453
理	915006
宗	909498
立	901419
空	901081
归	900001
取	893794
北	891248
